# Baryon number density for 48x48 matrices, at mass=0.0, analytic full result
# mu   nb
0.     0.
0.002  -1.0373646386341306e-15
0.004  -2.0816681711721685e-15
0.006  -3.12944115066216e-15
0.008  -4.184153024056059e-15
0.01   -5.2284565565940966e-15
0.012  -6.276229536084088e-15
0.014  -7.36216643204557e-15
0.016  -8.416878305439468e-15
0.018  -9.471590178833367e-15
0.02   -1.0547118733938987e-14
0.022  -1.16157083951407e-14
0.024  8.720107969040214e-13
0.026  9.438977377485003e-13
0.028  1.0154863061551112e-12
0.03   1.0868389521689892e-12
0.032  1.1580181258352695e-12
0.034  1.2289197437453936e-12
0.036  1.2993911502334754e-12
0.038  1.3697654122069025e-12
0.04   1.4396261960314405e-12
0.042  1.509140035160783e-12
0.044  1.5783069295949304e-12
0.046  -2.5715540807880188e-14
0.048  -2.6992297286199118e-14
0.05   -2.8227420401094605e-14
0.052  -2.969846590872294e-14
0.054  -3.098910017484968e-14
0.056  -3.239075674343894e-14
0.058  -3.382016888764383e-14
0.06   -3.527733660746435e-14
0.062  -3.6790015478516125e-14
0.064  -3.827493877395227e-14
0.066  -3.985700658404312e-14
0.068  -4.1300296516055823e-14
0.07   -4.29101199017623e-14
0.072  -4.465872116554692e-14
0.074  -4.624078897563777e-14
0.076  -4.798939023942239e-14
0.078  -4.9654724776360126e-14
0.08   -5.1486592766991635e-14
0.082  -5.342948306008566e-14
0.084  -5.5344617777564054e-14
0.086  -5.728750807065808e-14
0.088  -5.920264278813647e-14
0.09   -6.131206653492427e-14
0.092  -6.350475700855895e-14
0.094  -6.558642517973112e-14
0.096  -6.780687122898144e-14
0.098  -7.019385073192552e-14
0.1    -7.241429678117584e-14
0.102  -7.488454301096681e-14
0.104  -7.735478924075778e-14
0.106  -7.97695243193175e-14
0.108  -8.248957072964913e-14
0.11   -8.523737271559639e-14
0.112  -8.79296635503124e-14
0.114  -9.078848783872218e-14
0.116  -9.353628982466944e-14
0.118  -9.670042544485113e-14
0.12   -9.98368054894172e-14
0.122  -1.0294542995836764e-13
0.124  -1.0652589921278377e-13
0.126  -1.0969003483296547e-13
0.128  -1.1313172620930345e-13
0.13   -1.1668443988810395e-13
0.132  -1.2051470932306074e-13
0.134  -1.244004899092488e-13
0.136  -1.2828627049543684e-13
0.138  -1.322830733840874e-13
0.14   -1.3655743202889425e-13
0.142  -1.408317906737011e-13
0.144  -1.4521717162097048e-13
0.146  -1.4949153026577733e-13
0.148  -1.5437651157412802e-13
0.15   -1.5898393712632242e-13
0.152  -1.6370238498097933e-13
0.154  -1.6919798895287386e-13
0.156  -1.7430501486614958e-13
0.158  -1.798006188380441e-13
0.16   -1.8535173396116988e-13
0.162  -1.9090284908429567e-13
0.164  -1.971756091734278e-13
0.166  -2.0317081350640365e-13
0.168  -2.0961010704922955e-13
0.17   -2.1604940059205546e-13
0.172  -2.2282176104226892e-13
0.174  -2.2987167724863866e-13
0.176  -2.365330153963896e-13
0.178  -2.439159985101469e-13
0.18   -2.51687559682523e-13
0.182  -2.5912605394751154e-13
0.184  -2.671751708760439e-13
0.186  -2.755018435607326e-13
0.188  -2.8388402739665253e-13
0.19   -2.9254376698872875e-13
0.192  -3.0159208463942377e-13
0.194  -3.1069591344135006e-13
0.196  -3.205213872092827e-13
0.198  -3.3018032752352156e-13
0.2    -3.402833570476105e-13
0.202  -3.5060843117662444e-13
0.204  -3.6126657221302594e-13
0.206  -3.7203573555188996e-13
0.208  -3.8374858846168536e-13
0.21   -3.9523939676655573e-13
0.212  -4.072853165837387e-13
0.214  -4.1927572524969037e-13
0.216  -4.318767565791859e-13
0.218  -4.4481085481606897e-13
0.22   -4.585776203214209e-13
0.222  -4.720113189193853e-13
0.224  -4.860556401808935e-13
0.226  -5.006550729547143e-13
0.228  -5.154210391822289e-13
0.23   -5.307421169220561e-13
0.232  -5.466183061741958e-13
0.234  -5.629385846361856e-13
0.236  -5.790923296444817e-13
0.238  -5.960232307700153e-13
0.24   -6.143419106763304e-13
0.242  -6.318834344654078e-13
0.244  -6.503686478254167e-13
0.246  -6.689648834878881e-13
0.248  -6.885048087212908e-13
0.25   -7.085443343157749e-13
0.252  -7.288614156664153e-13
0.254  -7.495115639244432e-13
0.256  -7.707168236947837e-13
0.258  -7.929212841872868e-13
0.26   -8.154588115871775e-13
0.262  -8.378853166846056e-13
0.264  -8.615330671091215e-13
0.266  -8.858469513484124e-13
0.268  -9.102718578901658e-13
0.27   -9.35695965154082e-13
0.272  -9.61120072417998e-13
0.274  -9.874323581016142e-13
0.276  -1.0146328222049306e-12
0.278  -1.0417222640057844e-12
0.28   -1.0699219288312634e-12
0.282  -1.0983436382616674e-12
0.284  -1.127764548414234e-12
0.286  -1.1574075031717257e-12
0.288  -1.18760556944153e-12
0.29   -1.219246925643347e-12
0.292  -1.6581180872776713e-12
0.294  -1.8441914662048475e-12
0.296  -1.3139489496438728e-12
0.298  -1.3474776849875525e-12
0.3    -1.3805623311213822e-12
0.302  -1.4148682225822995e-12
0.304  -1.4489520694382918e-12
0.306  -1.4839240947139842e-12
0.308  -1.5190071422921392e-12
0.31   -1.5552004128949193e-12
0.312  -1.591726750405087e-12
0.314  -1.6269208202857044e-12
0.316  -1.6644463585180347e-12
0.318  -1.7007506514232773e-12
0.32   -1.7387202788654577e-12
0.322  -1.776689906307638e-12
0.324  -1.4385159730068153e-12
0.326  -1.8512968935624485e-12
0.328  -1.8893775433070914e-12
0.33   -1.9272361484468092e-12
0.332  -1.9643175974692895e-12
0.334  -2.0016210910966947e-12
0.336  -2.0394796962364126e-12
0.338  -2.07511785532688e-12
0.34   -2.112088282046898e-12
0.342  -2.147837463439828e-12
0.344  -2.1825874441105952e-12
0.346  -2.2171153801764376e-12
0.348  -2.2503110486127298e-12
0.35   -2.2827295609317844e-12
0.352  4.245603868469061e-12
0.354  4.4116932329529845e-12
0.356  4.5822234895354086e-12
0.358  4.759082017358196e-12
0.36   4.940492459581947e-12
0.362  5.1282311730460606e-12
0.364  5.321409979330838e-12
0.366  5.520583989948591e-12
0.368  5.725531160294395e-12
0.37   5.936140468065787e-12
0.372  6.1528560024726175e-12
0.374  6.375566741212424e-12
0.376  6.605160862704906e-12
0.378  6.839750987808202e-12
0.38   7.080780406454323e-12
0.382  7.328582185550658e-12
0.384  7.581935079770119e-12
0.386  7.84194931213733e-12
0.388  8.881784197001252e-16
0.39   1.3322676295501878e-15
0.392  7.771561172376096e-16
0.394  1.4432899320127035e-15
0.396  7.771561172376096e-16
0.398  9.992007221626409e-16
0.4    9.992007221626409e-16
0.402  2.220446049250313e-15
0.404  2.7755575615628914e-15
0.406  3.9968028886505635e-15
0.408  5.551115123125783e-15
0.41   8.992806499463768e-15
0.412  1.3655743202889425e-14
0.414  2.2537527399890678e-14
0.416  3.907985046680551e-14
0.418  6.605826996519681e-14
0.42   1.127986593019159e-13
0.422  1.9206858326015208e-13
0.424  3.2729374765949615e-13
0.426  5.601075159233915e-13
0.428  9.552358903874847e-13
0.43   1.628142065612792e-12
0.432  2.7734481378161036e-12
0.434  4.713562873348565e-12
0.436  8.002709606103053e-12
0.438  1.3561818335006137e-11
0.44   2.2945978450650273e-11
0.442  3.876343690478734e-11
0.444  6.538070085326808e-11
0.446  1.1009948508444722e-10
0.448  1.851194753044183e-10
0.45   3.1077507234300583e-10
0.452  5.209290776519993e-10
0.454  8.71875571739622e-10
0.456  1.4570771256217085e-9
0.458  2.431469581232193e-9
0.46   4.051546098615688e-9
0.462  6.741324720671571e-9
0.464  1.120080006522528e-8
0.466  1.8583989458420547e-8
0.468  3.079084831547618e-8
0.47   5.094525579174558e-8
0.472  8.417666796933787e-8
0.474  1.389076704771952e-7
0.476  2.2888165263079685e-7
0.478  3.76664631485113e-7
0.48   6.190557889640402e-7
0.482  1.0130955114817652e-6
0.484  1.6609364653641379e-6
0.486  2.719588926169969e-6
0.488  4.4443278296446564e-6
0.49   7.259017538840951e-6
0.492  0.000011841696106906774
0.494  0.000019293959455435328
0.496  0.0000313980968087435
0.498  0.00005103491354141454
0.5    0.0000828548058464662
0.502  0.00013435661655547548
0.504  0.0002176184715227958
0.506  0.0003520719241281167
0.508  0.0005689426257338148
0.51   0.0009183490173472197
0.512  0.0014806326241900702
0.514  0.002384409388520581
0.516  0.003835262505507586
0.518  0.006161209074028173
0.52   0.009884432135426557
0.522  0.015833722777397474
0.524  0.02531900295944789
0.526  0.040398012213218815
0.528  0.06427361799013698
0.53   0.10186086633679725
0.532  0.16053622848914828
0.534  0.25098351667522634
0.536  0.3878047610816704
0.538  0.5890877155373604
0.54   0.8735065243044088
0.542  1.253466928291541
0.544  1.7248493227936383
0.546  2.258832570609417
0.548  2.8048318301310395
0.55   3.307491548348861
0.552  3.7271633006286127
0.554  4.049459466817209
0.556  4.280923777941851
0.558  4.438671610580943
0.56   4.541722943926034
0.562  4.606485839079811
0.564  4.645437480258956
0.566  4.667407622052114
0.568  4.678381605985209
0.57   4.682311542850432
0.572  4.6817653460367215
0.574  4.678395212756748
0.576  4.673257862662013
0.578  4.667026761300977
0.58   4.660130223076506
0.582  4.652840306100626
0.584  4.6453296666449155
0.586  4.637707786283201
0.588  4.630044008580965
0.59   4.622382173679469
0.592  4.614749912291387
0.594  4.607164545278805
0.596  4.599636848566487
0.598  4.592173413629642
0.6    4.5847784280231165
0.602  4.5774540478386765
0.604  4.570200671840179
0.606  4.563019495475758
0.608  4.5559105494602266
0.61   4.548873600075376
0.612  4.5419082477008255
0.614  4.535013989719607
0.616  4.5281902606922175
0.618  4.521436458015499
0.62   4.514751958305872
0.622  4.508136127851032
0.624  4.501588329265832
0.626  4.4951079257176705
0.628  4.4886942835946835
0.63   4.482346774175745
0.632  4.476064774660513
0.634  4.469847668789151
0.636  4.463694847198949
0.638  4.4576057076125535
