# Baryon number density for 48x48 matrices, dt=1e-5, at mass=0.0, simulated results
# mu  Re(nb)              Re(nb)_err           Im(nb)                   Im(nb)_err
0     0.000000000         0.000000000  0.000056976300000000005  0.00110707
0.05  0.1632305           0.0443952    0.1281716                0.0375138
0.1   0.20920337          0.109786     0.40546000000000004      0.105606
0.15  0.530114            0.136414     0.3759163                0.116084
0.2   0.9998980000000001  0.161767     0.46072230000000003      0.167127
0.25  0.73876             0.247248     0.5388734                0.244223
0.3   1.259915            0.19138      0.41161                  0.186647
0.35  1.217146            0.216849     0.554257                 0.184124
0.4   1.411227            0.145201     0.6624730000000001       0.172588
0.45  1.752016            0.253232     1.392255                 0.227344
0.5   1.553323            0.192061     1.0985939                0.157746
0.55  2.13596             0.12735      0.841453                 0.165186
0.6   2.54969             0.170742     1.319361                 0.1396
0.65  2.55593             0.158157     1.3870127                0.129018
0.7   2.52653             0.187186     1.757725                 0.421081
0.75  3.02184             0.0952774    1.301208                 0.0898152
0.8   3.16451             0.0760445    1.758564                 0.101048
0.85  3.40467             0.0530976    1.69719609               0.0515326
0.9   3.61074             0.0395466    1.8066622                0.0405529
0.95  3.7670399999999997  0.0292666    1.8753039                0.0274097
1     3.8738799999999998  0.024287     1.9786965                0.0210262
1.05  3.9698200000000003  0.00840987   2.10763524               0.00939757
1.1   4.028420000000001   0.00371605   2.19429642               0.0065589
1.15  4.05506             0.00231011   2.30181085               0.00237059
1.2   4.08644             0.0015566    2.3935665999999998       0.00162748
1.25  4.11266             0.00119051   2.50798646               0.00126915
1.3   4.14723             0.000978523  2.59859516               0.00109509
1.35  4.19202             0.000837873  2.69618474               0.000957318
1.4   4.24047             0.000721032  2.80199884               0.000847546
1.45  4.288               0.000644636  2.89566905               0.000778677
1.5   4.34451             0.000568709  3.000673483              0.000718352
1.55  4.39908             0.000510823  3.09866273               0.000657845
1.6   4.4562              0.000463396  3.20248655               0.000614334
1.65  4.51541             0.000427551  3.30353753               0.000571049
1.7   4.58168             0.000385506  3.40403338               0.000545517
1.75  4.64975             0.000350522  3.499286149              0.000511491
1.8   4.71727             0.000326987  3.60185578               0.00048256
1.85  4.7849200000000005  0.000300893  3.69889386               0.000460015
1.9   4.86013             0.000279129  3.80216934               0.000435318
1.95  4.9299              0.00025847   3.899193303              0.000411013
2     5.00441             0.000239914  4.00117526               0.000393584
