#Baryon number density as a function of mu/nb for different temperatures (nt)
#mu   nt = 20                 nt = 40                  nt = 60                  nt = 80
0.8   0.00036861876850946085  2.2650807252848273e-9    1.3917136981461469e-14   8.550984496445732e-20
0.81  0.0006716163068596281   7.52033283750221e-9      8.419377245178488e-14    9.425901033245299e-19
0.82  0.0012235958077235554   2.4968384209490014e-8    5.093426420322454e-13    1.039033696359347e-17
0.83  0.00222897643079993     8.289795374675532e-8     3.0813434228857957e-12   1.1453451700399156e-16
0.84  0.004059600436602574    2.752308858608431e-7     1.8641041425174066e-11   1.2625341826066002e-15
0.85  0.007390909734546834    9.137985759257663e-7     1.1277172898916723e-10   1.3917136981461666e-14
0.86  0.013446702610896857    3.033916507837472e-6     6.822292042396572e-10    1.5341105566019642e-13
0.87  0.024434041183429473    0.000010072939813889054  4.1272461720223e-9       1.6910771252821302e-12
0.88  0.04429973447973505     0.00003344314254317499   2.4968384209489928e-8    1.8641041425173865e-11
0.89  0.07999388738393445     0.000111032989698806     1.5104991746227764e-7    2.0548348753893963e-10
0.9   0.14341712308195997     0.00036861876850946085   9.137985759257599e-7     2.2650807252848273e-9
0.91  0.2539335907317856      0.0012235958077235554    5.528152860611942e-6     2.4968384209490014e-8
0.92  0.4402458199910534      0.004059600436602574     0.000033443142543175165  2.752308858608431e-7
0.93  0.7380917080232273      0.013446702610896857     0.00020231068119227723   3.033916507837472e-6
0.94  1.1785527130287183      0.04429973447973532      0.001223595807723564     0.0000334431425431754
0.95  1.7685514148302033      0.14341712308196083      0.007390909734546887     0.0003686187685094654
0.96  2.4830553016833523      0.4402458199910558       0.0442997344797356       0.004059600436602625
0.97  3.2858230361213923      1.1785527130287239       0.253933590731789        0.044299734479735904
0.98  4.152389568717673       2.4830553016833434       1.1785527130287128       0.44024581999105056
0.99  5.064607669427778       4.152389568717673        3.2858230361213825       2.4830553016833434
1.    6.                      6.                       6.                       6.
1.01  6.935392330572224       7.847610431282328        8.714176963878618        9.516944698316657
1.02  7.847610431282328       9.516944698316657        10.821447286971285       11.559754180008948
1.03  8.714176963878618       10.821447286971285       11.746066409268208       11.955700265520262
1.04  9.516944698316657       11.559754180008948       11.955700265520262       11.995940399563397
1.05  10.231448585169804      11.856582876918022       11.992609090265496       11.999631381231453
1.06  10.821447286971285      11.955700265520262       11.998776404192256       11.999966556857458
1.07  11.26190829197678       11.986553297389124       11.999797689318763       11.999996966083536
1.08  11.559754180008948      11.995940399563397       11.999966556857458       11.999999724769115
1.09  11.746066409268208      11.998776404192256       11.999994471847186       11.999999975031573
1.1   11.856582876918022      11.999631381231453       11.999999086201509       11.999999997734832
1.11  11.920006112616079      11.999888967010325       11.999999848950084       11.999999999794559
1.12  11.955700265520262      11.999966556857458       11.999999975031573       11.999999999981359
1.13  11.975565958816563      11.999989927060165       11.999999995872752       11.999999999998268
1.14  11.986553297389124      11.999996966083536       11.999999999317685       11.999999999999934
1.15  11.992609090265496      11.999999086201509       11.999999999887189       12.000000000000156
1.16  11.995940399563397      11.999999724769115       11.999999999981359       12.
1.17  11.9977710235692        11.999999917102045       11.999999999996835       11.999999999999998
1.18  11.998776404192256      11.999999975031573       11.999999999999574       11.999999999999913
1.19  11.999328383693118      11.999999992479625       11.999999999999917       11.999999999999915
1.20  11.999631381231453      11.999999997734832       12.000000000000156       11.999999999999826
