# Difference of the k^4 nt to the full h2^4 action at fixed h2=0.15, h1=0.8
#nt   nb_diff
4     1.1621599204748303
5     1.1297279363798642
6     1.1081066136498867
7     1.0926628116999029
8     1.081079960237415
9     1.0720710757665912
10    1.0648639681899321
11    1.058967243809029
12    1.0540533068249434
13    1.0498953601461014
14    1.0463314058499513
15    1.0432426454599548
16    1.0405399801187074
17    1.0381552754058423
18    1.0360355378832955
19    1.03413893062628
20    1.032431984094966
21    1.0308876038999677
22    1.0294836219045145
23    1.0282017252999702
24    1.0270266534124717
25    1.0259455872759728
26    1.0249476800730508
27    1.024023691922197
28    1.0231657029249757
29    1.0223668855827353
30    1.0216213227299773
31    1.0209238607064295
32    1.0202699900593537
33    1.0196557479363428
34    1.0190776377029211
35    1.0185325623399806
36    1.0180177689416479
37    1.017530802213495
38    1.01706946531314
39    1.0166317867153671
40    1.016215992047483
41    1.0158204800463249
42    1.0154438019499836
43    1.0150846437651004
44    1.0147418109522572
45    1.0144142151533182
46    1.0141008626499852
47    1.0138008442957303
48    1.013513326706236
49    1.0132375445285575
50    1.0129727936379864
