# Binding energy computed at nf=2, nt=50, Z_2 at order k^2
# mu_B/m_B   @k=0.02                   @k=0.04                   @k=0.06
0.98        -7.655136325799517000e-7  -0.000024013659316646033  -0.00017512682266746687
0.9802      -8.430509950648015000e-7  -0.000025895789018416824  -0.00018663602198502042
0.9803      -9.284339360375252000e-7  -0.000027924748394363417  -0.00019890135493786051
0.9806      -1.022454598230301500e-6  -0.000030111878909719462  -0.00021197233431707952
0.9808      -1.125984741096878900e-6  -0.000032469379355935164  -0.00022590166697121408
0.981       -1.239983665618793500e-6  -0.000035010367529416594  -0.00024074544830097523
0.9812      -1.365506911448298800e-6  -0.000037748945813817916  -0.0002565633660560267
0.9813      -1.503715798131079200e-6  -0.00004070027081759936   -0.00027341891332747744
0.9816      -1.655887888050541000e-6  -0.00004388062720526971   -0.0002913796104868823
0.9818      -1.823428454945868800e-6  -0.000047307505842366915  -0.00031051723564714585
0.982       -2.007883048355792000e-6  -0.00005099968634986803   -0.00033090806300802483
0.9822      -2.210951251077834700e-6  -0.00005497732413198784   -0.00035263310819179177
0.9823      -2.434501733665247000e-6  -0.00005926204190120513   -0.00037577837936848623
0.9826      -2.680588717014595000e-6  -0.00006387702567397851   -0.000400435132606308
0.9828      -2.951469961125065500e-6  -0.0000688471251484122    -0.00042670012945479906
0.983       -3.249626404996727600e-6  -0.00007419895829914525   -0.00045467589426927574
0.9832      -3.577783589178093700e-6  -0.00007996101993243545   -0.0004844709682054434
0.9833      -3.938934998465026000e-6  -0.00008616379383375118   -0.000516200156148787
0.9836      -4.336367467371534000e-6  -0.00009283986800794091   -0.0005499847620855534
0.9838      -4.773688794888321000e-6  -0.00010002405235551295   -0.0005859528075681
0.984       -5.254857717253324000e-6  -0.00010775349794436316   -0.0006242392269743557
0.9842      -5.784216387425956000e-6  -0.00011606781682106608   -0.0006649860322107474
0.9843      -6.366525507002229000e-6  -0.0001250092010561057    -0.0007083424383666107
0.9846      -7.007002249614140000e-6  -0.00013462253942973895   -0.0007544649406086675
0.9848      -7.711361103432883000e-6  -0.00014495552983627468   -0.0008035173313274352
0.985       -8.485857743091793000e-6  -0.00015605878511198784   -0.0008556706452465724
0.9852      -9.337336016729414000e-6  -0.000167985929573089     -0.000911103018922269
0.9853      -0.000010273278100372432  -0.00018079368308551776   -0.0009699994498574277
0.9856      -0.000011301857827578042  -0.00019454192897803272   -0.0010325514394070512
0.9858      -0.000012431997145004735  -0.0002092937615584362    -0.0010989565028564903
0.986       -0.00001367342557192279   -0.000225115508407071     -0.00116941752963155
0.9862      -0.000015036742450775674  -0.000242076722012642     -0.001244141976684054
0.9863      -0.000016533481663809087  -0.0002602501347015128    -0.0013233408788543679
0.9866      -0.000018176178354082385  -0.00027971157021554425   -0.0014072276616126853
0.9868      -0.000019978437024446424  -0.00030053980474849945   -0.001496016744213891
0.987       -0.000021955000191732876  -0.000322816369798532     -0.0015899219251496422
0.9872      -0.000024121816542022784  -0.000346625288887016     -0.0016891545470167461
0.9873      -0.00002649610726338724   -0.0003720527400961508    -0.0017939214446779357
0.9876      -0.00002909642892259722   -0.0003991866365651554    -0.0019044226889465517
0.9878      -0.000031942730900860844  -0.00042811611764383974   -0.0020208491479683658
0.988       -0.00003505640501149454   -0.0004589309444285878    -0.002143379899876208
0.9882      -0.00003846032449280011   -0.0004917207949964216    -0.002272179542869589
0.9884      -0.00004217886910963908   -0.0005265744569071097    -0.0024073954621793917
0.9886      -0.00004623793261890663   -0.0005635789175428494    -0.002549155126755391
0.9888      -0.000050664908375556396  -0.0006028183566613424    -0.002697563501121119
0.989       -0.000055488648402837933  -0.0006443730501715376    -0.0028527006686478334
0.9892      -0.000060739390857667245  -0.0006883181995619675    -0.0030146197703315456
0.9894      -0.00006644865053546934   -0.0007347227075096421    -0.003183345366797919
0.9896      -0.00007264906693495743   -0.0007836479267613012    -0.0033588723295035505
0.9898      -0.0000793742045110727    -0.0008351464160954785    -0.0035411653589377417
0.99        -0.00008665830016284434   -0.0008892607436125967    -0.003730159212346913
0.9902      -0.00009453595381931229   -0.0009460223832230568    -0.003925759700863258
0.9904      -0.00010304175929034022   -0.0010054507543835894    -0.004127845486266511
0.9906      -0.00011220987442364366   -0.001067552457195569     -0.0043362706719611375
0.9908      -0.0001220735321201097    -0.0011323207542612032    -0.004550868142817789
0.991       -0.00013266449693859813   -0.0011997353466203357    -0.004771453566648645
0.9912      -0.00014401247584745638   -0.0012697624832579144    -0.00499782992905878
0.9914      -0.00015614449605973546   -0.0013423554319532372    -0.005229792436321238
0.9916      -0.0001690842676340521    -0.0014174553238425745    -0.005467133590761136
