# Convergence in N_B using Z2 as a function of h_2 with beta=0, nt=50, h1=0.8
# h2      @o(k^2)                 @o(k^4)                 @o(k^6)                  @o(k^8)
0.        1.6524682195552316      1.6524682195552316      1.6524682195552316       1.6524682195552316
0.0003    1.6490291246122866      1.6490283682200675      1.6490283682554747       1.6490283682603941
0.0006    1.6455900296693413      1.6455870041004652      1.6455870043837229       1.6455870044624334
0.0009    1.642150934726396       1.642144127196425       1.6421441281524207       1.6421441285508918
0.0012    1.6387118397834508      1.6386997375079464      1.6386997397740104       1.6386997410333761
0.001498  1.6352727448405058      1.63525383503503        1.6352538394609364       1.6352538425355596
0.0018    1.631833649897561       1.6318064197776758      1.6318064274256419       1.6318064338011813
0.0021    1.6283945549546157      1.628357491735883       1.6283575038805698       1.6283575156920436
0.0024    1.6249554600116705      1.6249070509096524      1.6249070690381642       1.6249070891880173
0.002697  1.6215163650687252      1.6214550972989836      1.6214551231108687       1.6214551553870367
0.002996  1.6180772701257802      1.6180016309038772      1.618001666311127        1.6180017155051032
0.003295  1.614638175182835       1.614546651724332       1.614546698851382        1.6145467708762826
0.0036    1.6111990802398897      1.611090159760349       1.6110902209440772       1.6110903229527065
0.0039    1.6077599852969444      1.607632155011928       1.6076322328016561       1.6076323733045723
0.0042    1.6043208903539994      1.6041726374790692      1.6041727346365628       1.6041729236201432
0.0045    1.6008817954110546      1.6007116071617724      1.600711726661241        1.600711975705747
0.0048    1.5974427004681093      1.5972490640600372      1.5972492090881325       1.597249531485777
0.005095  1.5940036055251643      1.593785008173864       1.5937851821296827       1.5937855930026938
0.00539   1.5905645105822188      1.5903194395032525      1.590319645998334        1.5903201624170216
0.00569   1.5871254156392738      1.5868523580482035      1.5868526009065305       1.5868532420073516
0.00599   1.5836863206963288      1.5833837638087163      1.583384047066715        1.5833848341703392
0.00629   1.5802472257533835      1.5799136567847907      1.579913984691332        1.5799149414207063
0.00659   1.5768081308104382      1.576442036976427       1.5764424139928241       1.57644356639124
0.00689   1.573369035867493       1.5729689043836255      1.5729693351836347       1.5729707118327927
0.0072    1.5699299409245482      1.569494259006386       1.5694947484762083       1.5694963806142832
0.0075    1.566490845981603       1.5660181008447083      1.566018654082988        1.5660205757226948
0.0078    1.563051751038658       1.5625404298985925      1.5625410522164167       1.5625433002630773
0.0081    1.5596126560957126      1.5590612461680387      1.5590619430889385       1.5590645574585449
0.0084    1.5561735611527674      1.5555805496530468      1.5555813269129963       1.5555843506502784
0.0087    1.5527344662098224      1.5520983403536168      1.5520992039010344       1.5521026832975235
0.009     1.5492953712668769      1.5486146182697484      1.5486155742654957       1.5486195589775922
0.0093    1.5458562763239319      1.5451293834014426      1.5451304382188245       1.545134981385861
0.0096    1.5424171813809866      1.5416426357486985      1.541643795973463        1.5416489543357728
0.00989   1.5389780864380418      1.5381543753115166      1.5381556477418559       1.5381614817588363
0.01019   1.5355389914950968      1.5346646020898964      1.5346659937364464       1.5346725677046242
0.01049   1.5320998965521515      1.531173316083838       1.5311748341696774       1.5311822163407751
0.01079   1.5286608016092065      1.5276805172933416      1.5276821692539928       1.5276904319529958
0.01109   1.525221706666261       1.524186205718407       1.524187999201836        1.5241972189450546
0.01139   1.521782611723316       1.5206903813590344      1.5206923242256507       1.5207025818387887
0.01169   1.5183435167803712      1.5171930442152242      1.5171951445378804       1.5172065252740992
0.01199   1.5149044218374261      1.5136941942869755      1.5136964603509688       1.5137090540089526
0.01228   1.5114653268944807      1.5101938315742887      1.5101962718773585       1.5102101729193809
0.01258   1.5080262319515356      1.506691956077164       1.5066945793294941       1.5067098869994835
0.01288   1.5045871370085904      1.503188567795601       1.5031913829198182       1.5032082013614227
0.01318   1.5011480420656451      1.4996836667296         1.499686682860775        1.4997051212354287
0.01348   1.4977089471227         1.4961772528791615      1.4961804793648077       1.4962006519697957
0.01378   1.4942698521797546      1.4926693262442838      1.4926727726443598       1.492694799030883
0.01408   1.4908307572368096      1.4891598868249691      1.4891635629118751       1.489187568003118
0.0144    1.4873916622938648      1.4856489346212163      1.485652850379796        1.485678964588991
0.0147    1.4839525673509195      1.4821364696330248      1.4821406352605675       1.4821689946090588
0.015     1.4805134724079745      1.4786224918603956      1.4786269177666327       1.4786576640019438
0.0153    1.4770743774650292      1.475107001303328       1.475111698110434        1.4751449788243338
0.0156    1.4736352825220842      1.4715899979618232      1.4715949765044158       1.4716309452509828
0.01587   1.4701961875791394      1.4680714818358798      1.468076753161022        1.4681155695747095
0.0162    1.4667570926361937      1.4645514529254977      1.4645570282926956       1.4645988582063976
0.01647   1.4633179976932484      1.4610299112306784      1.4610358021118792       1.4610808176749983
0.0168    1.4598789027503032      1.4575068567514204      1.4575130748310177       1.457561454627527
0.01707   1.4564398078073584      1.4539822894877248      1.453988846662555        1.4540407758290652
0.0174    1.4530007128644133      1.4504562094395912      1.4504631178189327       1.450518788162759
0.01767   1.4495616179214679      1.446928616607019       1.4469358885125951       1.4469954986298204
0.018     1.4461225229785226      1.443399510990009       1.4434071589559863       1.4434709143495277
0.01827   1.4426834280355778      1.4398688925885614      1.4398769293615499       1.4399450425592248
0.0186    1.4392443330926326      1.4363367614026754      1.4363451999417285       1.4364178906143192
0.01887   1.4358052381496877      1.4328031174323517      1.432811970908966        1.4328894659882867
0.0192    1.4323661432067418      1.4292679606775887      1.4292772424757052       1.4293597762726657
0.0195    1.4289270482637968      1.4257312911383888      1.425741014854391        1.4258288291770633
0.01978   1.425487953320852       1.4221931088147506      1.4222032882574664       1.4222966325291502
0.0201    1.4220488583779067      1.4186534137066742      1.4186640628973743       1.4187631942746624
0.02038   1.418609763434962       1.4151122058141603      1.4151233389865592       1.4152285224774028
0.0207    1.4151706684920167      1.4115694851372078      1.4115811167374634       1.4116926253192381
0.02098   1.4117315735490719      1.4080252516758174      1.408037396362531        1.4081555111001027
0.0213    1.408292478606126       1.4044795054299881      1.404492178074205        1.4046171882379936
0.02158   1.4048533836631814      1.400932246399722       1.4009454620849306       1.4010776652689778
0.0219    1.4014142887202363      1.3973834745850173      1.3973972486071498       1.3975369508471833
0.02218   1.3979751937772908      1.3938331899858742      1.3938475378533053       1.393995053744805
0.0225    1.394536098834346       1.3902813926022939      1.3902963300358433       1.390451982852106
0.02277   1.3910970038914006      1.3867280824342745      1.3867436253672043       1.3869077471774105
0.0231    1.3876579089484553      1.3831732594818176      1.3831894240598337       1.383362355847112
0.02337   1.3842188140055103      1.3796169237449227      1.3796337263261746       1.3798158181056677
0.0237    1.3807797190625648      1.376059075223589       1.37607653237867         1.3762681433156008
0.02397   1.3773406241196204      1.3724997139178188      1.3725178424297648       1.3727193409575005
0.0243    1.373901529176675       1.3689388398276092      1.3689576566919002       1.3691694206300187
0.02457   1.3704624342337293      1.3653764529529613      1.3653959753775213       1.3656183920498777
0.0249    1.367023339290785       1.361812553293877       1.3618327986990724       1.362066265051863
0.02517   1.3635842443478394      1.3582471408503531      1.3582681268689945       1.3585130495888227
0.0255    1.3601451494048942      1.3546802156223914      1.354701960099733        1.3549587557316756
0.02577   1.3567060544619491      1.3511117776099921      1.3511342986037314       1.3514033936694032
0.02608   1.3532669595190034      1.3475418268131538      1.3475651425934312       1.347846973709052
0.02636   1.349827864576059       1.343970363231879       1.3439944922812792       1.3442895062757367
0.02668   1.3463887696331138      1.3403973868661652      1.340422347879716        1.340731001912634
0.02696   1.3429496746901688      1.3368228977160135      1.3368487096011867       1.3371714712809895
0.02728   1.3395105797472233      1.3332468957814232      1.3332735776581335       1.3336109251601116
0.02756   1.336071484804278       1.3296693810623952      1.329696952263001        1.3300493744473763
0.02788   1.3326323898613333      1.3260903535589297      1.3261188336282332       1.3264868301582249
0.02816   1.329193294918388       1.3225098132710256      1.3225392219662722       1.3229233034261623
0.02848   1.3257541999754434      1.318927760198684       1.3189581174895624       1.3193588055027614
0.0288    1.3223151050324975      1.315344194341903       1.315375520410546        1.315793347757658
0.02907   1.318876010089552       1.3117591157006845      1.3117914309416674       1.3122269416785566
0.0294    1.3154369151466074      1.3081725242750286      1.3082058492953714       1.3086595988712264
0.02967   1.3119978202036624      1.3045844200649346      1.3046187756841001       1.3050913310594994
0.03      1.3085587252607174      1.3009948030704024      1.301030210320297        1.301522150085276
0.03027   1.305119630317772       1.2974036732914314      1.2974401534164048       1.297952067908521
0.0306    1.3016805353748269      1.293811030728023       1.2938486051848692       1.2943810966072655
0.03087   1.298241440431882       1.2902168753801766      1.290255565838132        1.2908092483776055
0.0312    1.2948023454889368      1.286621207247892       1.2866610355886374       1.2872365355337025
0.0315    1.2913632505459918      1.2830240263311694      1.2830650146488285       1.2836629705077842
0.03175   1.2879241556030467      1.2794253326300087      1.279467503231149        1.280088565850143
0.0321    1.2844850606601013      1.2758251261444093      1.275868501548042        1.276513334229137
0.0324    1.2810459657171562      1.2722234068743727      1.2722680098119519       1.2729372884311911
0.0327    1.2776068707742105      1.268620174819897       1.2686660282353206       1.269360441360793
0.03295   1.2741677758312655      1.2650154299809842      1.265062557030594        1.2657828060404999
0.03326   1.2707286808883205      1.2614091723576333      1.261457596410214        1.262204395610931
0.0336    1.2672895859453757      1.2578014019498442      1.2578511465866242       1.2586252233307729
0.0339    1.2638504910024306      1.2541921187576173      1.2542432077722685       1.2550453025767765
0.03414   1.2604113960594854      1.2505813227809517      1.2506337801795895       1.2514646468437594
0.03446   1.25697230111654        1.246969014019848       1.2470228640210315       1.2478832697446036
0.0348    1.2535332061735949      1.243355192474307       1.2434104595090383       1.2443011850102588
0.0351    1.2500941112306498      1.2397398581443275      1.2397965668560529       1.2407184064897379
0.03534   1.2466550162877044      1.2361230110299095      1.2361811862745182       1.2371349481501197
0.03566   1.2432159213447593      1.232504651131054       1.2325643179768793       1.2335508240765503
0.036     1.2397768264018136      1.2288847784477597      1.2289459621755778       1.2299660484722383
0.0363    1.2363377314588693      1.2252633929800287      1.2253261190830593       1.2263806356584626
0.03654   1.2328986365159242      1.2216404947278592      1.2217047889117656       1.2227946000745624
0.03685   1.2294595415729788      1.2180160836912508      1.2180819718741405       1.2192079562779448
0.0372    1.2260204466300337      1.2143901598702052      1.2144576681826282       1.215620718944083
