#Convergence plot for nb vs beta @ h1 = 0.8 and kappa = 0.0091
#beta  nb @ O(u)           nb @ O(u2)          nb @ O(u3)          nb @ O(u4)          nb @ O(u5)
0.     1.                  1.                  1.                  1.                  1.
0.2    1.000281465656868   1.0002859309814855  1.0002859946935658  1.0002859955522732  1.0002859955817607
0.4    1.0005689930594241  1.0005873002793695  1.000587832064517   1.0005878466478322  1.000587847661806
0.6    1.00086199068923    1.000904143332961   1.000906011834073   1.0009060899858366  1.000906098230557
0.8    1.0011596774312896  1.0012362200684908  1.0012408189825033  1.001241079584175   1.0012411166252004
1.     1.0014611014045656  1.0015829974082668  1.0015922959405419  1.001592964636647   1.0015930845490988
1.2    1.0017651628261675  1.0019436388928458  1.0019602160463024  1.0019616670842495  1.001961981820119
1.4    1.0020706406729891  1.0023170031902666  1.0023440604234255  1.0023468601390486  1.0023475732507832
1.6    1.0023762226991264  1.0027016530253061  1.0027430007744196  1.0027479494313154  1.0027493971534982
1.8    1.0026805381367185  1.0030958756013177  1.0031558907101406  1.0031640588161574  1.0031667561087065
2.     1.0029821921723323  1.0034977149153543  1.003581268076064   1.003594023094619   1.003598710839124
2.2    1.0032798010779322  1.0039050155260647  1.004017370240276   1.0040363898940485  1.0040440782791147
2.4    1.0035720267153185  1.004315476401058   1.0044621634744308  1.004489432647232   1.004501435160281
2.6    1.003857609054283   1.0047267125522248  1.0049133864431419  1.0049511759793248  1.004969128567804
2.8    1.0041353953689083  1.005136321384506   1.005368606534277   1.005419433879616   1.0054452948584256
3.     1.0044043649122807  1.005541950149938   1.0058252864751385  1.0058918598874773  1.0059278879876037
3.2    1.0046636481114273  1.0059413607004697  1.0062808575710762  1.006366007300459   1.0064147176364318
3.4    1.0049125396501954  1.0063324879094648  1.0067327951438567  1.006839396294164   1.006903496598826
3.6    1.0051505051846876  1.0067134886662796  1.0071786914585172  1.007309584005581   1.0073918958073012
3.8    1.0053771818235027  1.0070827791702024  1.0076163216556038  1.0077742332141184  1.0078776043229747
4.     1.005592372862978   1.0074390592482114  1.008043698912233   1.0082311753291568  1.0083583907937035
4.2    1.0057960375615742  1.0077813234651956  1.0084591161261471  1.0086784639463677  1.0088321624625562
4.4    1.0059882769439792  1.0081088597598864  1.0088611726882335  1.009114416174358   1.0092970178799576
4.6    1.0061693167343058  1.0084212371246508  1.0092487862015174  1.0095376401078044  1.0097512900302832
4.8    1.0063394885313535  1.0087182843903313  1.0096211901577414  1.0099470480589798  1.0101935775263557
5.     1.0064992102707193  1.0090000624587165  1.0099779194791498  1.0103418562936004  1.0106227626874984
5.2    1.0066489668883647  1.0092668323621963  1.0103187864119452  1.0107215729252832  1.0110380165100934
5.4    1.0067892919310555  1.0095190213672227  1.0106438495130268  1.011085976235305   1.011438791595457
5.6    1.0069207506730058  1.009757189034001   1.0109533784411746  1.0114350859853238  1.0118248048989145
5.8    1.0070439251138306  1.009981994760675   1.011247817013451   1.0117691303100227  1.0121960126494227
6.     1.00715940106485    1.0101941679309911  1.0115277465941424  1.0120885105738324  1.0125525799631552
6.2    1.0072677573878257  1.0103944813927808  1.011793851420499   1.0123937662234461  1.012894847583354
6.4    1.0073695573367316  1.010583728649703   1.012046886998436   1.0126855412374658  1.0132232978940785
6.6    1.0074653418698132  1.0107627048663461  1.0122876522667386  1.0129645533268918  1.0135385219551334
6.8    1.007555624743698   1.0109321915719498  1.0125169658578184  1.0132315666207508  1.0138411888603474
7.     1.007640889169933   1.0110929447977235  1.0127356464891315  1.013487368208618   1.0141320182871383
