#Convergence plot for nb vs h2 @ h1 = 0.8 and beta = 6
#h2    nb @ O(k2)          nb @ O(k4)          nb @ O(k6)          nb @ O(k8)
0.     1.6524682195552316  1.6524682195552316  1.6524682195552316  1.6524682195552316
0.001  1.643722235783994   1.6440993175083105  1.644095653806997   1.6440956644803673
0.002  1.634515277236921   1.636031562763809   1.6360025135029446  1.6360026634631721
0.003  1.6248488679036983  1.6282777966652653  1.6281806680955642  1.6281813222802661
0.004  1.6147247080565084  1.620850210371882   1.6206222210573282  1.620623957613095
0.005  1.6041446679686686  1.6137603402952228  1.613319574521585   1.6133230067853461
0.006  1.593110781999954   1.607019063857953   1.6062654922742046  1.6062709332204506
0.007  1.5816252431551885  1.6006365949516017  1.5994531626604955  1.599460125718339
0.008  1.5696903982130026  1.5946224784757916  1.5928762631398143  1.5928827890022768
0.009  1.5573087435104132  1.5889855833624644  1.5865290283243998  1.5865308224584844
0.01   1.5444829214563827  1.5837340935252782  1.5804063233724563  1.5803956836265414
0.011  1.5312157178337664  1.578875496225976   1.5745037245630202  1.5744682328364912
0.012  1.5175100599343976  1.5744165674155486  1.5688176087586392  1.5687385554635311
0.013  1.5033690155566135  1.570363353687256   1.5633452532600887  1.5631957586103413
0.014  1.4887957928786328  1.566721150569855   1.5580849472764857  1.5578277396495634
0.015  1.4737937412048858  1.5634944769909205  1.5530361158774337  1.5526209249736864
0.016  1.4583663525661585  1.5606870458502915  1.5481994568670339  1.5475599785052767
0.017  1.4425172641382735  1.5583017307602876  1.543577090530513   1.5426274810037965
0.018  1.426250261428335   1.556340529130173   1.5391727216628912  1.5378035829408976
0.019  1.4095692821625265  1.5548045218951514  1.534991812707552   1.5330656356664456
0.02   1.392478420795275   1.553693830312403   1.5310417662246127  1.5283878077028448
0.021  1.374981933546473   1.5530075703657715  1.527332114289873   1.5237406952238475
0.022  1.3570842438616797  1.552743805434352   1.5238747118117157  1.5190909380240005
0.023  1.3387899481798011  1.5528994979855875  1.5206839301628974  1.5144008544839966
0.024  1.320103821884085   1.5534704611484949  1.5177768469752868  1.5096281110961514
0.025  1.3010308253052103  1.5544513111046165  1.5151734274562518  1.504725443936895
0.026  1.281576109640213   1.555835421301456   1.5128966921742824  1.4996404509605556
0.027  1.2617450226478293  1.5576148795431781  1.51097286594573    1.4943154750399348
0.028  1.241543113979739   1.5597804490447942  1.5094315022512244  1.4886875981956655
0.029  1.2209761400082435  1.5623215345473818  1.5083055775344527  1.4826887673440194
0.03   1.200050068013921   1.5652261545817332  1.5076315498007278  1.4762460710652698
0.031  1.1787710796019737  1.5684809209357717  1.5074493761494856  1.4692821852772822
0.032  1.1571455732232838  1.5720710263263151  1.5078024842517987  1.4617160032309422
0.033  1.1351801656852558  1.5759802411983181  1.5087376933266654  1.4534634618822477
0.034  1.1128816925486078  1.580190920474783   1.5103050808802583  1.4444385724179138
0.035  1.090257207319151   1.5846840209590618  1.5125577923496971  1.4345546575183876
0.036  1.067313979357933   1.5894391299488597  1.515551791831475   1.4237257918597843
0.037  1.044059490449106   1.5944345054596547  1.519345553265832   1.411868435438763
0.038  1.0205014299818853  1.5996471282763842  1.5239996927798387  1.3989032416342664
0.039  0.9966476887213471  1.6050527658579625  1.5295765443458067  1.3847570136081502
0.04   0.9725063511617631  1.6106260479120729  1.5361396824688296  1.3693647738347878
0.041  0.9480856864757126  1.61634055324091    1.543753397252552   1.352671902405784
0.042  0.9233941380926561  1.6221689072347776  1.552482128879575   1.3346362904759865
0.043  0.8984403119602362  1.6280828891629775  1.56238987025016    1.315230446018603
0.044  0.8732329635621472  1.6340535481841862  1.5735395482196062  1.294443480181167
0.045  0.8477809837856066  1.640051326774601   1.5859923955238053  1.2722828942332285
0.046  0.8220933837507591  1.6460461900556755  1.5998073270500275  1.2487760796381526
0.047  0.7961792787322779  1.6520077592977125  1.6150403355572114  1.2239714374343489
0.048  0.7700478713203994  1.657905447684437   1.6317439232413697  1.1979390181445322
0.049  0.7437084339845523  1.6637085962515645  1.6499665866410886  1.170770580108255
0.05   0.7171702912161788  1.669386607760669   1.66975237324883    1.1425789626947147
