# Baryon mass and effective baryon mass computed at different kappa
# kappa  mb                  mb_eff
0.001    18.643824289266576  18.64382417691222
#0.002    16.564382705586734  16.564381907003483
#0.003    15.347987267262189  15.347984777587648
#0.004    14.484940827906584  14.484935266427517
#0.005    13.815509807963055  13.815499446241528
0.006    13.26854459157877   13.268527395697978
#0.007    12.806091790091457  12.806065435027392
#0.008    12.40549659820662   12.40545848821345
#0.0091   12.052146189216463  12.052093472409236
#0.0102   11.736063016206437  11.735992598399083
0.011    11.45013049073328   11.450039047574116
#0.012    11.189093977669662  11.188977965150597
#0.0131   10.948963040505463  10.948818704927938
#0.0142   10.726635841833474  10.726459228797069
#0.015    10.519653441071437  10.51944040371258
0.016    10.326033551238538  10.325779757864092
#0.017    10.144154783215074  10.14385572441993
#0.0182   9.972674026924922   9.972325022411678
#0.0193   9.810466200097341   9.810062404778215
#0.02     9.656579469612074   9.65611587962439
0.021    9.51020140940573    9.509672867669089
#0.0222   9.370633038346748   9.370034239841743
#0.023    9.237268633930467   9.236594130728744
#0.024    9.109579845313979   9.10882405138563
#0.025    8.987103051615067   8.986260247359757
0.0262   8.869429201101093   8.868493537717164
#0.0273   8.756195569026918   8.755161072666633
#0.028    8.6470790151426     8.645939590908817
#0.029    8.541790424895957   8.540539860653563
#0.0302   8.44007009339779    8.438702063465408
0.031    8.341683866558553   8.340191935222943
#0.032    8.246419895079207   8.244797519996307
#0.033    8.154085888084714   8.152326423542995
#0.034    8.064506776860654   8.062603476937939
#0.035    7.9775227173322305  7.975468738930216
0.0364   7.892987374004347   7.890775779778688
#0.0375   7.81076643907303    7.808390200262188
#0.038    7.730736349063751   7.728188348224166
#0.039    7.652783168200043   7.650056201848219
#0.04     7.576801613166      7.573888394335223
0.041    7.502694198307349   7.499587359018574
#0.042    7.430370483851891   7.4270625775032455
#0.0433   7.359746412600339   7.356229916286505
#0.0444   7.290743722880677   7.287011039637198
#0.045    7.2232894274800445  7.219332888449672
0.046    7.157315349851184   7.153127216395614
#0.047    7.092757710201045   7.088330175936803
#0.048    7.029556755158877   7.0248819479376685
#0.049    6.967656425631106   6.962726409454806
#0.05     6.907004058213117   6.901810835094986
0.0514   6.847550116169984   6.842085627935566
