# binding energy as a function of mu_b / m_b with the pade approximants, kappa = 0.08, nt = 50, beta = 0
# h2     [[0/1]]                   [[1/1]]                   [[2/1]]                   [[2/2]]
0.95    -6.653947942180404e-8     -2.910521159613404e-8     -1.8124442559343033e-8    -1.8408203469276602e-8
0.9501  -6.839285216858906e-8     -2.99158906250318e-8      -1.8629277083634455e-8    -1.892093568585319e-8
0.9503  -7.029784750247622e-8     -3.074914920995536e-8     -1.9148172992571355e-8    -1.9447948920761765e-8
0.9504  -7.225590324113924e-8     -3.1605616216114734e-8    -1.968152193534995e-8     -1.9989640918122815e-8
0.9505  -7.426849724664607e-8     -3.248593802375446e-8     -2.0229726467372103e-8    -2.0546420501389625e-8
0.9506  -7.633714854057183e-8     -3.339077900939964e-8     -2.0793200357236163e-8    -2.1118707878674807e-8
0.9506  -7.846341845019638e-8     -3.432082205517152e-8     -2.1372368896792724e-8    -2.1706934960649886e-8
0.9507  -8.064891178657347e-8     -3.5276769058679545e-8    -2.1967669223195196e-8    -2.231154568421472e-8
0.9508  -8.289527805542361e-8     -3.625934145937399e-8     -2.2579550646866224e-8    -2.2932996349375276e-8
0.9509  -8.520421270173427e-8     -3.726928079262117e-8     -2.3208474994412932e-8    -2.3571755966140277e-8
0.951   -8.757745838899833e-8     -3.8307349240911737e-8    -2.3854916952309703e-8    -2.422830660050688e-8
0.9511  -9.001680631406028e-8     -3.937433020917226e-8     -2.451936442914402e-8     -2.4903143745268858e-8
0.9513  -9.2524097558595e-8       -4.0471028920976046e-8    -2.520231892068462e-8     -2.559677669230164e-8
0.9514  -9.510122447816407e-8     -4.159827301974945e-8     -2.5904295890824633e-8    -2.630972891504092e-8
0.9515  -9.775013212998377e-8     -4.2756913195326875e-8    -2.6625825159558214e-8    -2.704253846135171e-8
0.9516  -1.0047281974040834e-7    -4.394782382842284e-8     -2.7367451300562198e-8    -2.7795758364856936e-8
0.9516  -1.0327134221326342e-7    -4.51719036451005e-8      -2.8129734056276133e-8    -2.8569957058790188e-8
0.9517  -1.0614781168017856e-7    -4.643007639714388e-8     -2.8913248756323337e-8    -2.93657188057558e-8
0.9518  -1.0910439909407785e-7    -4.772329155964923e-8     -2.9718586754954014e-8    -3.0183644134939515e-8
0.9519  -1.1214333586698936e-7    -4.905252504451703e-8     -3.05463558745985e-8      -3.102435030021925e-8
0.952   -1.1526691555349448e-7    -5.041877993700378e-8     -3.139718086555097e-8     -3.188847174203633e-8
0.9521  -1.1847749558097556e-7    -5.182308725471188e-8     -3.227170387736274e-8     -3.277666056793686e-8
0.9523  -1.217774990280775e-7     -5.3266506721571973e-8    -3.317058494281173e-8     -3.368958704188562e-8
0.9524  -1.251694164526304e-7     -5.475012756838385e-8     -3.409450247600717e-8     -3.462794009370193e-8
