# nb/mb^3 as a function of a (fm) at mu = 0.999 mb, T = 10MeV and mb = 30 GeV
# a(fm)               nb @ (k^4)              nb_error @ (k^4)         nb @ (k^6)              nb_error @ (k^6)         nb @ (kappa^8)             nb_error @ (k^8)
0.136423838393805     0.00006523238514278357  1.6578203382560525e-12   0.00006523238514247775  3.058127752766926e-16    0.00006523238514247782  6.776263578034403e-20
0.13086670263510564   0.0000740378636054685   6.33517239047917e-12     0.00007403786360332572  2.142790068646039e-15    0.00007403786360332642  7.047314121155779e-19
0.12563881554098463   0.00008393913389262395  2.256657224096719e-11    0.00008393913387911077  1.3513184169734738e-14   0.0000839391338791187   7.928228386300251e-18
0.12071606062814579   0.00009396358082032835  7.486678255965405e-11    0.0000939635807429851   7.734325604014797e-14    0.00009396358074306344  7.834715948923376e-17
0.11607630967188713   0.00010629128795579138  2.3513236049508245e-10   0.0001062912875519526   4.038387734026788e-13    0.00010629128755263199  6.793881863337292e-16
0.11169923958775245   0.00011878027108791818  6.940628872548421e-10    0.00011878026914890302  1.9390151647941806e-12   0.00011878026915421223  5.3092160659171106e-15
0.10756616773408073   0.00013260627290775855  1.9440461246009177e-9    0.0001326062643038191   8.603939446755887e-12    0.00013260626434115239  3.73332820820943e-14
0.10365990364399391   0.00014786073299779715  5.185248252580384e-9     0.00014786069752431382  3.547348333588114e-11    0.00014786069776226446  2.379506368419687e-13
0.09996461542522792   0.00016462561734780252  1.3212971492181915e-8    0.00016462548077676327  1.3657103925404993e-10   0.00016462548216070183  1.3839385637915563e-12
0.09646570926800786   0.0001829670842673525   3.226287155296448e-8     0.00018296659103794543  4.932294070782509e-10    0.00018296659842830377  7.390358344825515e-12
0.09314972067846226   0.00020292801578087393  7.569761906130222e-8     0.0002029263377189672   1.6780619067414178e-9    0.0002029263741608902   3.6441923019795916e-11
0.09000421621102836   0.0002245201731910008   1.7110152819476885e-7    0.00022451477399635747  5.399194643321758e-9     0.00022451494079824049  1.6680188301551255e-10
0.08701770461059291   0.00024569112120236485  3.7195516469092603e-7    0.0002456746200673025   1.6501135062356193e-8    0.0002456753371880814   7.171207788833275e-10
0.08417955639611971   0.00026816513537716646  7.828061482575846e-7     0.0002681171079037413   4.8027473425170126e-8    0.00026811999554015247  2.8876364111820284e-9
0.08147993102424224   0.00029410199576952257  1.604437750017272e-6     0.00029396853479908113  1.3346097044143138e-7    0.0002939794021422271   1.0867343145975952e-8
0.07890971086555033   0.0003190183197266143   3.1836795656336103e-6    0.0003186627399073573   3.555798192569578e-7     0.0003187016165742224   3.887666686508027e-8
0.07646044130957866   0.0003450368679298075   6.1513668304724405e-6    0.00034412671356552345  9.101543642840671e-7     0.0003442585176132407   1.318040477172439e-7
0.07412427638818841   0.00037233458944842506  0.000011592246970211636  0.0003700908424018165   2.243747046608573e-6     0.0003705157555804621   4.249131786456103e-7
0.07189392937225486   0.00039885487738968193  0.00002126909160858994   0.00039351143053452495  5.343446855156982e-6     0.0003948256867924901   1.3142562579651325e-6
0.06976262785438392   0.00043116973834239755  0.00003830543316636701   0.0004188670227309575   0.000012302715611440065  0.0004227326679165419   3.865645185584406e-6
0.06772407288164212   0.00046942344786001926  0.00006757154758755217   0.0004419669013046268   0.000027456546555392446  0.00045287220088695204  0.00001090529958232522
0.0657724017477982    0.0005157179343329732   0.00011655131948388889   0.00045616679744888507  0.000059551136884088184  0.00048591015760366513  0.000029743360154780066
0.06390215409499998   0.0005812858315458509   0.00019740367918975546   0.00045564432149824497  0.00012564151004760594   0.0005338026695073129   0.0000781583480090679
0.062108241010764634  0.0006801492074684659   0.0003286236799165432    0.00042190098986539593  0.00025824821760307      0.0006201930941903467   0.00019829210432495078
#0.06038591683814297   0.0008346537788948059   0.0005381665093593096    0.0003168142071577794   0.0005178395717370266    0.0008034529690341272   0.00048663876187634783
#0.058730753445411295  0.001079429853035785    0.0008676093617040108    0.00006521235113979022  0.0010142175018959948    0.0012224544983744164   0.0011572421472346261
