# nb/mb^3 as a function of a (fm) at mu = 1.001 mb, T = 10 MeV and mb = 30 GeV
# a(fm)               nb @ (k^4)              nb_error @ (k^4)         nb @ (k^6)             nb_error @ (k^6)         nb @ (kappa^8)             nb_error @ (k^8)
0.136423838393805     0.0003808080165436202    3.1401522007645788e-12   0.0003808080165468386  3.2183999389145956e-15   0.00038080801654683807  5.421010862427522e-19
0.13086670263510564   0.0004312231676014105    1.1867457483296512e-11   0.0004312231676238718  2.2461307987164947e-14   0.00043122316762386493  6.884683795282953e-18
0.12563881554098463   0.00048696197068184274   4.1465421320076995e-11   0.0004869619708225125  1.4066975665902315e-13   0.0004869619708224351   7.741203511546502e-17
0.12071606062814579   0.0005494946903142629    1.4304181385378645e-10   0.0005494946911307569  8.164940078214666e-13    0.0005494946911300103   7.465816159735184e-16
0.11607630967188713   0.0006171411640927393    4.3390952007664463e-10   0.0006171411683028003  4.210061010749555e-12    0.0006171411682961813   6.618945842806756e-15
0.11169923958775245   0.0006925303735996999    1.3074447681189066e-9    0.0006925303939627584  2.0363058461647654e-11   0.000692530393911706    5.105236979691119e-14
0.10756616773408073   0.0007749402521061613    3.7050975530911537e-9    0.0007749403428339483  9.07277870453721e-11     0.0007749403424777709   3.5617743563559623e-13
0.10365990364399391   0.0008646690285719887    9.921140311738331e-9     0.0008646694031062745  3.745342857467554e-10    0.0008646694008428808   2.2633936825472434e-12
0.09996461542522792   0.0009619185489519876    2.5207639144336595e-8    0.0009619199890501916  1.4400982039893331e-9    0.000961919975868104    1.3182087582955249e-11
0.09646570926800786   0.0010667435526530572    6.100376557312444e-8     0.0010667487352182096  5.1825651524190636e-9    0.0010667486644659087   7.075230093640805e-11
0.09314972067846226   0.0011789830166459463    1.4110042212260067e-7    0.001179000550619438   1.7533973491667618e-8    0.0011790001989008885   3.5171854946731973e-10
0.09000421621102836   0.0012981681847290772    3.129026644010501e-7     0.0012982241830776914  5.5998348614172064e-8    0.0012982225563337834   1.6267439079814539e-9
0.08701770461059291   0.0014253868156974129    6.967683881498824e-7     0.0014255593042451855  1.7248854777265551e-7    0.0014255524276747139   6.876570471684926e-9
0.08417955639611971   0.0015573255550634987    1.4918464460579421e-6    0.001557830191491463   5.046364279642779e-7     0.0015578028816288646   2.7309862598353524e-8
0.08147993102424224   0.001689479580053763     2.95994637631203e-6      0.001690863849965097   1.3842699113338422e-6    0.0016907592061806039   1.0464378449306574e-7
0.07890971086555033   0.001822502796203726     5.917878330299149e-6     0.0018261948798262786  3.692083622552694e-6     0.001825823768807636    3.711110186427249e-7
0.07646044130957866   0.0019491562284240302    0.000011465808327127888  0.0019585971260651543  9.440897641124074e-6     0.001957347237647306    1.2498884178484444e-6
0.07412427638818841   0.002062047504014282     0.00002157537198685085   0.002085253598575037   0.000023206094560755067  0.002081243731459088    4.009867115949053e-6
0.07189392937225486   0.0021518658616863405    0.00004091409818540769   0.0022076261783658467  0.000055760316679506153  0.002195590210159693    0.00001203596820615379
0.06976262785438392   0.0022007581051692107    0.0000729751136806559    0.002328272852412348   0.00012751474724313717   0.002292921871817957    0.00003535098059439081
0.06772407288164212   0.002189914023993118     0.0001271114859657447    0.002472154897766481   0.0002822408737733627    0.0023724697922012238   0.00009968510556525702
0.0657724017477982    0.0020864307086260435    0.00022351881016785275   0.0027001957398055244  0.0006137650311794809    0.00243502722763652     0.00026516851216900434
0.06390215409499998   0.0018467486276148384    0.00038411703150247165   0.003142378696260917   0.0012956300686460785    0.0024617884851573318   0.0006805902111035851
0.062108241010764634  0.0014100802617671802    0.0006459540317097501    0.004069687228516152   0.002659606966748972     0.0023798474527863705   0.0016898397757297815
#0.06038591683814297   0.000692070318086346     0.0010641188481281105    0.0060096074383845675  0.005317537120298222     0.001940204858834491    0.004069402579550076
#0.058730753445411295  -0.00042315417074407846  0.0017186262248850728    0.009947386262794147   0.010370540433538225     0.00041723408312558936  0.009530152179668558
