#Convergence plot for nb vs h2 @ h1 = 1.0 and beta = 0
#h2     nb @ O(k2)          nb @ O(k4)          nb @ O(k6)          nb @ O(k8)
0.      2.                  2.                  2.                  2.
0.0004  1.9943652173913042  1.994381092778828   1.9943810725722204  1.994381072535567
0.0008  1.9887304347826087  1.9887939363327032  1.9887937746798443  1.9887937740933925
0.0012  1.983095652173913   1.9832385306616258  1.9832379850832265  1.983237982114316
0.0016  1.9774608695652174  1.9777148757655953  1.9777135825427232  1.9777135731594995
0.002   1.9718260869565216  1.9722229716446125  1.9722204458186898  1.9722204229104296
0.0024  1.9661913043478259  1.9667628182986765  1.9667584536714824  1.9667584061689136
0.0028  1.9605565217391305  1.9613344157277883  1.9613274848614568  1.961327396857084
0.0032  1.9549217391304348  1.9559377639319468  1.955927418148968   1.9559272680173931
0.0036  1.949286956521739   1.950572862911153   1.9505581322943724  1.9505578918126187
0.004   1.9436521739130435  1.9452397126654066  1.9452195060580257  1.9452191395258605
0.0044  1.9380173913043477  1.9399383131947068  1.9399114182002832  1.93991088156054
0.0048  1.9323826086956521  1.9346686644990547  1.934633747481501   1.9346329874404031
0.0052  1.9267478260869564  1.9294307665784498  1.9293863726620346  1.9293853258095173
0.0056  1.9211130434782606  1.9242246194328922  1.9241691725022396  1.9241677644322732
0.006   1.9154782608695653  1.9190502230623818  1.9189820257624721  1.9189801701933853
0.0064  1.9098434782608695  1.9139075774669188  1.9138248112030878  1.9138224090978888
0.0068  1.904208695652174   1.9087966826465028  1.908697407584442   1.9086943462711439
0.0072  1.8985739130434782  1.9037175386011342  1.9035996936668904  1.9035958459588316
0.0076  1.8929391304347825  1.8986701453308126  1.8985315482107892  1.898526771526957
0.008   1.887304347826087   1.8936545028355387  1.8934928499764938  1.8934869854618486
0.0084  1.8816695652173911  1.8886706111153118  1.88848347772436    1.888476349370155
0.0088  1.8760347826086954  1.8837184701701322  1.8835033102147432  1.8834947239788509
0.0092  1.8704              1.8787980800000001  1.878552226208      1.878541969135232
0.0096  1.8647652173913043  1.8739094406049148  1.873630104464485   1.8736179438069165
0.01    1.8591304347826088  1.8690525519848773  1.868736823744555   1.8687225060818466
0.0104  1.853495652173913   1.8642274141398865  1.8638722628085649  1.863855513168286
0.0108  1.8478608695652172  1.8594340270699432  1.8590363004168702  1.8590168213948224
0.0112  1.8422260869565217  1.8546723907750473  1.8542288153298279  1.8542062862103663
0.0116  1.836591304347826   1.8499425052551983  1.8494496863077923  1.8494237621841494
0.012   1.8309565217391306  1.8452443705103971  1.8446987921111202  1.8446691030057283
0.0124  1.8253217391304348  1.8405779865406426  1.8399760115001667  1.83994216148498
0.0128  1.819686956521739   1.8359433533459355  1.8352812232352875  1.8352427895521075
0.0132  1.8140521739130435  1.831340470926276   1.8306143060768387  1.8305708382576338
0.0136  1.8084173913043478  1.8267693392816633  1.8259751387851755  1.8259261577724057
0.014   1.802782608695652   1.8222299584120982  1.821363600120654   1.821308597387593
0.0144  1.7971478260869564  1.8177223283175803  1.8167795688436303  1.8167180055146885
0.0148  1.7915130434782607  1.8132464489981095  1.8122229237144591  1.8121542296855069
0.0152  1.785878260869565   1.808802320453686   1.8076935434934964  1.8076171165521866
