#Convergence plot for nb vs h2 @ h1 = 1.0 and beta = 0
#h2     nb @ O(k2)          nb @ O(k4)          nb @ O(k6)          nb @ O(k8)
0.      2.                  2.                  2.                  2.
0.0004  1.9943810481773092  1.9943810481773092  1.9943810725890183  1.9943810725363171
0.0008  1.9887935805201993  1.9887935805201993  1.9887937749505293  1.9887937741145036
0.0012  1.9832373331493809  1.9832373331493809  1.983237986463153   1.9832379822667692
0.0016  1.9777120451262296  1.9777120451262296  1.9777135869337759  1.9777135737836051
0.002   1.972217458411936   1.972217458411936   1.9722204566106352  1.9722204247772182
0.0024  1.966753317827336   1.966753317827336   1.966758476195765   1.9667584107426128
0.0028  1.961319371013405   1.961319371013405   1.9613275268568258  1.9613274066164073
0.0032  1.9559153683924075  1.9559153683924075  1.955927490238342   1.9559272868334585
0.0036  1.9505410631296853  1.9505410631296853  1.9505582484723638  1.9505579253813679
0.004   1.9451962110960759  1.9451962110960759  1.9452196841885807  1.9452191958529497
0.0044  1.9398805708309435  1.9398805708309435  1.9399116805238976  1.939910971496718
0.0048  1.9345939035058204  1.9345939035058204  1.9346341211315012  1.9346331252654745
0.0052  1.9293359728886355  1.9293359728886355  1.9293868901894273  1.9293855298630493
0.0056  1.9241065453085264  1.9241065453085264  1.9241698724086511  1.9241680577892621
0.006   1.9189053896212247  1.9189053896212247  1.9189829530407165  1.9189805813831706
0.0064  1.9137322771749983  1.9137322771749983  1.9138260178849227  1.9138229728646534
0.0068  1.9085869817771433  1.9085869817771433  1.908698953295078   1.908695104374392
0.0072  1.9034692796610169  1.9034692796610169  1.9036016461858438  1.9035968480123036
0.0076  1.898378949453597   1.898378949453597   1.8985339840386797  1.8985280758744771
0.008   1.8933157721435627  1.8933157721435627  1.8934958549074024  1.8934886600886642
0.0084  1.8882795310498832  1.8882795310498832  1.8884871474233782  1.8884784728483752
0.0088  1.8832700117909078  1.8832700117909078  1.883507750800356   1.8834973864456241
0.0092  1.8782870022539442  1.8782870022539442  1.8785575548389555  1.8785452733023713
0.0096  1.8733302925653224  1.8733302925653224  1.873636449930831   1.8736220060007112
0.01    1.868399675060926   1.868399675060926   1.8687443270625042  1.8687274573118362
0.0104  1.8634949442571946  1.8634949442571946  1.8638810778189034  1.863861500223836
0.0108  1.8586158968225748  1.8586158968225748  1.8590465943865961  1.8590240079683542
0.0112  1.8537623315494227  1.8537623315494227  1.854240769556742   1.854214854046154
0.0116  1.8489340493263449  1.8489340493263449  1.8494634967277686  1.8494339122516217
0.012   1.8441308531109686  1.8441308531109686  1.844714669907785   1.8446810566962508
0.0124  1.839352547903138   1.839352547903138   1.839994183716739   1.8399561618311353
0.0128  1.8345989407185246  1.8345989407185246  1.8353019333883331  1.835259102468513
0.0132  1.829869840562645   1.829869840562645   1.8306378147716975  1.8305897538023812
0.0136  1.8251650584052819  1.8251650584052819  1.8260017243328455  1.825947991428227
0.014   1.8204844071552952  1.8204844071552952  1.8213935591559038  1.821333691361896
0.0144  1.815827701635824   1.815827701635824   1.8168132169441364  1.8167467300576299
0.0148  1.8111947585598638  1.8111947585598638  1.8122605960207663  1.8121869844253038
0.0152  1.8065853965062209  1.8065853965062209  1.8077355953296017  1.8076543318468863
0.0156  1.8019994358958287  1.8019994358958287  1.8032381144354783  1.803148650192153
0.016   1.7974366989684276  1.7974366989684276  1.7987680535245198  1.7986698178336769
0.0164  1.7928970097595958  1.7928970097595958  1.7943253134042287  1.794217713661121
0.0168  1.7883801940781288  1.7883801940781288  1.7899097955034107  1.7897922170948581
0.0172  1.783886079483759   1.783886079483759   1.785521401871939   1.7853932080989368
0.0176  1.7794144952652102  1.7794144952652102  1.7811600351803683  1.7810205671934218
0.0180  1.774965272418583   1.774965272418583   1.7768255987194017  1.7766741754661277
0.0184  1.7705382436260622  1.7705382436260622  1.772517996399217   1.7723539145837646
0.0188  1.7661332432349417  1.7661332432349417  1.7682371327486577  1.7680596668025201
0.0192  1.7617501072369628  1.7617501072369628  1.7639829129142968  1.7637913149780942
0.0196  1.7573886732479598  1.7573886732479598  1.7597552426593759  1.7595487425752092
0.02    1.7530487804878048  1.7530487804878048  1.7555540283626228  1.7553318336766055
0.0204  1.7487302697606517  1.7487302697606517  1.7513791770169613  1.7511404729915534
0.0208  1.744432983435471   1.744432983435471   1.7472305962281074  1.746974545863885
0.0212  1.740156765426868   1.740156765426868   1.7431081942130628  1.742833938279571
0.0216  1.7359014611761865  1.7359014611761865  1.7390118797985097  1.738718536873857
0.0220  1.7316669176328863  1.7316669176328863  1.7349415624191087  1.7346282289379698
0.0224  1.7274529832361953  1.7274529832361953  1.7308971521157073  1.730562902425418
0.0228  1.7232595078970239  1.7232595078970239  1.7268785595334593  1.7265224459578912
0.0232  1.7190863429801482  1.7190863429801482  1.7228856959198637  1.722506748830778
0.0236  1.7149333412866474  1.7149333412866474  1.718918473122722   1.7185157010183172
0.024   1.7108003570365962  1.7108003570365962  1.7149768035880202  1.7145491931783883
0.0244  1.706687245852008   1.706687245852008   1.711060600357741   1.710607116656964
0.0248  1.7025938647400212  1.7025938647400212  1.707169777067603   1.7066893634922247
0.0252  1.69852007207633    1.69852007207633    1.7033042479447404  1.7027958264183622
0.0256  1.6944657275888488  1.6944657275888488  1.6994639278053132  1.6989263988690673
