# dof slope of nb as a function of lattice spacing, T=10Mev, mb=30GeV
# a    dof                  dof_error
0.12   3.591233561166479   -1.0015963337465437e-11
0.119  3.6735619775365693  -1.5807277483507473e-11
0.118  3.758122851395729   -2.4903348156595575e-11
0.117  3.8677994509706393  -4.0392178906004e-11
0.116  3.95743177767791    -6.36271683516537e-11
0.115  4.073123414281923   -1.0305238491178033e-10
0.114  4.168170874550427   -1.6237354906694882e-10
0.113  4.290268105796409   -2.629411196812702e-10
0.112  4.391093807732985   -4.141620597686044e-10
0.111  4.5200074704137965  -6.703431596364181e-10
0.11   4.652711108759297   -1.0845110304768128e-9
0.109  4.763151222701006   -1.7079565163381781e-9
0.108  4.9033301394681414  -2.761894917019946e-9
0.107  5.047651340983929   -4.464463407594317e-9
0.106  5.168639716262948   -7.030211407410266e-9
0.105  5.321119665118852   -1.1359319263118657e-8
0.104  5.478100266509926   -1.8348282520748233e-8
0.103  5.6397023610835495  -2.962803426448774e-8
0.102  5.806043996959652   -4.7828123994658474e-8
0.101  5.977239041536905   -7.718663377623392e-8
0.100  6.1226768635162445  -1.2153484740459133e-7
0.099  6.30334323250584    -1.96084592296833e-7
0.098  6.52098381985416    -3.239357237485579e-7
0.097  6.712583207895888   -5.222750258465331e-7
0.096  6.909473371883432   -8.41881711472244e-7
0.095  7.111696169886835   -1.3568151361428495e-6
0.094  7.31926955539521    -2.1863234823780253e-6
0.093  7.532182609755102   -3.522399270561644e-6
0.092  7.785668655287569   -5.8029451410468444e-6
0.091  8.009659421770971   -9.34464916981496e-6
0.09   8.238715726586289   -0.000015046257798308355
0.089  8.509613358076033   -0.00002475674237553503
0.088  8.748689154337395   -0.00003984704567130898
0.087  9.03003675189947    -0.00006550960220551333
0.086  9.316174476944726   -0.00010764432695763798
0.085  9.567504277118617   -0.00017316922045232627
0.084  9.8607512707301     -0.0002843577205887047
0.083  10.156460953360861  -0.000466737272555897
0.082  10.45350372553064   -0.0007657828807649022
0.081  10.750545573981329  -0.0012559631110842361
0.080  11.04603112499354   -0.002059198960648583
0.079  11.33817093581841   -0.003375062731777664
0.078  11.624935994522613  -0.0055301790239308465
0.077  11.904063374990704  -0.009059031686724707
0.076  12.213104142815714  -0.015114408569686903
0.075  12.468968735052353  -0.024742703092153488
0.074  12.748256884730543  -0.0412367903997295
0.073  12.969477338541216  -0.067469223618402
0.072  13.207181435875842  -0.11233958255096488
0.071  13.419703811176946  -0.18694826985371973
0.070  13.604941917890631  -0.3109477791222286
