# nb/mb^3 as a function of a (fm) at mu = 0.999 mb, T = 10MeV and mb = 30 GeV, resummed action
# a(fm)               nb @ (k^4)              nb_error @ (k^4)        nb @ (k^6)              nb_error @ (k^6)        nb @ (kappa^8)              nb_error @ (k^8)
0.136423838393805     0.00006523250451616467  5.344481503405732e-13    0.00006523250451602066  1.4400915356038713e-16   0.00006523250451602066  0.
0.13086670263510564   0.00007403811438549306  2.0395278754704524e-12   0.00007403811438448604  1.0070205303316926e-15   0.00007403811438448613  9.486769009248164e-20
0.12563881554098463   0.00008393964228775064  7.249238942420508e-12    0.00008393964228142014  6.3304938548169876e-15   0.00008393964228142123  1.0842021724855044e-18
0.12071606062814579   0.00009396456644652434  2.4135676083051304e-11   0.00009396456641013719  3.6387153056274824e-14   0.00009396456641014812  1.0936889414947526e-17
0.11607630967188713   0.00010629316123535315  7.552095434475506e-11    0.00010629316104642901  1.8892413946192815e-13   0.00010629316104652144  9.242823520438925e-17
0.11169923958775245   0.00011878369089046073  2.2330503113667573e-10   0.00011878368998225607  9.082046638179964e-13    0.00011878368998298792  7.318500189548716e-16
0.10756616773408073   0.00013261234472133717  6.259905727188774e-10    0.00013261234069338312  4.0279540499451455e-12   0.00013261234069856156  5.178447731388203e-15
0.10365990364399391   0.00014787122637805573  1.6697449832568743e-9    0.0001478712098088634   1.656919233435951e-11    0.00014787120984186496  3.300156914236296e-14
0.09996461542522792   0.00016464327288022893  4.252004625211183e-9     0.00016464320935900338  6.352122555166803e-11    0.00016464320954978355  1.9078017160847893e-13
0.09646570926800786   0.00018299598361383354  1.0368899405538076e-8    0.00018299575567899072  2.2793484282098916e-10   0.00018299575668583566  1.0068449437898586e-12
0.09314972067846226   0.0002029739280241798   2.4282760454561987e-8    0.0002029731595074376   7.685167422149392e-10    0.00020297316438605862  4.878621026041183e-12
0.09000421621102836   0.00022459061073652317  5.4755484600723997e-8    0.00022458816764971772  2.443086805450391e-9     0.00022458818946458395  2.181486623829311e-11
0.08701770461059291   0.0002457935213547794   1.1924007134645918e-7    0.0002457861250071704   7.396347608977418e-9     0.00024578621925299066  9.424582024086109e-11
0.08417955639611971   0.00026830441721424994  2.511984487862072e-7     0.0002682831907386307   2.12264756192424e-8      0.00026828356880760786  3.7806897716652355e-10
0.08147993102424224   0.0002942721752252277   5.127799896751544e-7     0.0002942146573972226   5.751782800511498e-8     0.0002942160197760112   1.3623787886133006e-9
0.07890971086555033   0.0003191749238753287   1.0172726074720445e-6    0.00031902550159258617  1.4942228274253443e-7    0.00031903028069569156  4.7791031053900056e-9
0.07646044130957866   0.0003450500307912455   1.9638408333224645e-6    0.0003446796331881829   3.70397603062587e-7      0.00034469538292962904  1.574974144613779e-8
0.07412427638818841   0.0003718813452428483   3.6954739129957718e-6    0.000371003657147428    8.776880954203085e-7     0.0003710525917025322   4.8934555104199196e-8
0.07189392937225486   0.0003972111348600152   6.792503706502437e-6     0.00039520782175363027  2.0033131063849365e-6    0.00039535635534442844  1.4853359079817314e-7
0.06976262785438392   0.0004268080399488289   0.000012200593432663061  0.0004224484166308088   4.359623318020086e-6     0.00042286261303138133  4.141964005725221e-7
0.06772407288164212   0.00045928536037366643  0.00002145395459823645   0.00045016965987181305  9.115700501853379e-6     0.00045127103817701173  1.101378305198679e-6
0.0657724017477982    0.0004940165299057921   0.00003699933454887598   0.000475563980089072    0.000018452549816720112  0.00047844750343983876  2.8835233507667687e-6
0.06390215409499998   0.0005373752502977879   0.00006261722670774611   0.0005013549552380577   0.00003602029505973023   0.0005085970280740378   7.242072835980163e-6
0.062108241010764634  0.0005951654483906081   0.0001041013735393339    0.0005272200048628048   0.00006794544352780327   0.0005447541415698349   0.000017534136707030067
#0.06038591683814297   0.0006762456960406842   0.00017017064425032017   0.0005521329464271481   0.00012411274961353607   0.0005932540758429137   0.00004112112941576562
#0.058730753445411295  0.0007937800896632989   0.0002737382910723116    0.0005737695728446825   0.00022001051681861642   0.0006675902652526608   0.00009382069240797828
