# nb/mb^3 as a function of a (fm) at mu = 1.001 mb, T = 10 MeV and mb = 30 GeV, resummed action
# a(fm)               nb @ (k^4)               nb_error @ (k^4)         nb @ (k^6)              nb_error @ (k^6)         nb @ (kappa^8)            nb_error @ (k^8)
0.136423838393805     0.0003808087138046205   5.344414689446852e-13    0.00038080871380654713  1.9266272605067414e-15   0.00038080871380654735  2.168404344971009e-19
0.13086670263510564   0.00043122462977001567  2.039480780438585e-12    0.00043122462978347186  1.3456195793043468e-14   0.00043122462978347387  2.0057740190981832e-18
0.12563881554098463   0.0004869649255820853   7.2489427112819305e-12   0.00048696492566648877  8.440345861462917e-14    0.00048696492566650937  2.0599841277224584e-17
0.12071606062814579   0.0005495004731519895   2.41339498299048e-11     0.000549500473639184    4.871945945630896e-13    0.0005495004736394051   2.2106882296979435e-16
0.11607630967188713   0.0006171521008030434   7.551203878766038e-11    0.0006171521033224081   2.519364708172822e-12    0.0006171521033241913   1.783187313086909e-15
0.11169923958775245   0.0006925504976975498   2.2326184737769816e-10   0.0006925505098332323   1.2135682432926065e-11   0.0006925505098477052   1.447290638029175e-14
0.10756616773408073   0.0007749762819957225   6.257981697947723e-10    0.0007749763358660127   5.387029017311917e-11    0.0007749763359696276   1.0361492479987744e-13
0.10365990364399391   0.0008647319455861017   1.6689519619821416e-9    0.000864732167145283    2.2155918126629676e-10   0.0008647321678058444   6.605614492893874e-13
0.09996461542522792   0.0009620259922419051   4.248965276734511e-9     0.0009620268405930508   8.483511457343593e-10    0.0009620268443727511   3.779700294068156e-12
0.09646570926800786   0.0010669235525165531   1.0358016527172234e-8    0.001066926589611658    3.037095104921339e-9     0.0010669266091515575   1.953989942939105e-11
0.09314972067846226   0.0011792800621723467   2.4246197412878048e-8    0.0011792902659510422   1.0203778695464308e-8    0.0011792903577199124   9.176887028061742e-11
0.09000421621102836   0.0012986537150548548   5.463977148360312e-8     0.0012986859914892687   3.227643441384119e-8     0.001298686384815888    3.9332661932144075e-10
0.08701770461059291   0.0014261823516699907   1.188873998264877e-7     0.0014262799864081272   9.763473813651814e-8     0.0014262817000752549   1.71366712768857e-9
0.08417955639611971   0.0015586418282464826   2.501801062149145e-7     0.001558921196071511    2.7936782502841276e-7    0.0015589280171084885   6.821036977432138e-9
0.08147993102424224   0.0016916854318834074   5.100328937899124e-7     0.0016924338761882636   7.484443048562123e-7     0.0016924565854574036   2.270926914007751e-8
0.07890971086555033   0.0018263343713114508   1.0100829519726212e-6    0.0018282616286942534   1.9272573828026628e-6    0.001828338441105717    7.681241146351853e-8
0.07646044130957866   0.001956036756917564    1.945861028340365e-6     0.0019607525841562785   4.715827238714349e-6     0.0019609929084507998   2.403242945212339e-7
0.07412427638818841   0.002074770005569998    3.652410653220018e-6     0.0020857423814826265   0.000010972375912628434  0.0020864410783563675   6.986968737409359e-7
0.07189392937225486   0.002176250080292055    6.692003165516443e-6     0.0022008349881161866   0.000024584907824131644  0.002202884272937712    2.049284821525367e-6
0.06976262785438392   0.0022470437750221166   0.000011978585393204993  0.002298807133163435    0.000051763358141318494  0.0023040195590931884   5.212425929753371e-6
0.06772407288164212   0.0022771891062873485   0.000020981730169203523  0.0023808537305220943   0.00010366462423474576   0.002393419783129537    0.000012566052607442587
0.0657724017477982    0.002251553948284926    0.00003601730019218768   0.0024515340939392605   0.0001999801456543343    0.002482243699534678    0.00003070960559541742
0.06390215409499998   0.002152348725767204    0.0000606479442649163    0.0025193623090938315   0.0003670135833266277    0.002590702914547128    0.00007134060545329647
0.062108241010764634  0.0019609900406823196   0.00010029088436271831   0.0026019272123825226   0.0006409371717002029    0.002760491780784219    0.0001585645684016963
#0.06038591683814297   0.0016574177751203902   0.00016305462593076028   0.0027229756900458203   0.00106555791492543      0.0030617223913635564   0.0003387467013177361
#0.058730753445411295  0.0012200366028827135   0.0002609173886709104    0.0029075282864871837   0.0016874916836044703    0.003604723315149256    0.0006971950286620721
