#Resummed convergence plot for nb vs h2 @ h1 = 0.8 and beta = 0
#h2     nb @ O(k2)          nb @ O(k4)          nb @ O(k6)          nb @ O(k8)
0.      1.6524682195552316  1.6524682195552316  1.6524682195552316  1.6524682195552316
0.0002  1.650178904655605   1.6501791593750488  1.6501791608655227  1.6501791608616223
0.0004  1.6478963996624674  1.647897418540242   1.647897430444806   1.6478974303826406
0.0006  1.645620674382431   1.6456229668574232  1.6456230069706606  1.645623006657159
0.0008  1.6433516987995853  1.6433557743106828  1.6433558692411703  1.6433558682541511
0.001   1.6410894430741987  1.6410958110602882  1.641095996174121   1.6410959937736393
0.0012  1.6388338775414326  1.6388430474414017  1.6388433668062174  1.638843361847623
0.0014  1.6365849727100674  1.6365974539628036  1.6365979602922949  1.6365979511409883
0.0016  1.6343426992612387  1.6343590013056288  1.6343597559045429  1.6343597403523913
0.0018  1.6321070280471837  1.6321276603221144  1.6321287330317333  1.6321287082151295
0.002   1.6298779300899997  1.6299034020343588  1.6299048711784558  1.629904833497987
0.0022  1.6276553765804147  1.6276861976330892  1.627688149964355   1.6276880950060664
0.0024  1.6254393388765647  1.6254760184764419  1.6254785491233792  1.6254784715815949
0.0026  1.623229788502786   1.623272836088753   1.62327604850303    1.623275942104721
0.0028  1.6210266971484137  1.6210766221593578  1.6210806280636207  1.6210804854942826
0.003   1.618830036666596   1.618887348541404   1.618892267877539   1.6188920807085696
0.0032  1.6166397790731106  1.6167049872506696  1.616710948128516   1.6167107067460549
0.0034  1.6144558965452005  1.614529510464398   1.614536649110899   1.6145363426461228
0.0036  1.6122783614204128  1.612360890520136   1.612369351228934   1.6123689674897683
0.0038  1.6101071461954515  1.6101990999145877  1.6102090349960474  1.6102085604002883
0.004   1.6079422235250376  1.608044111302474   1.6080556810341387  1.608055100543952
0.0042  1.6057835662207798  1.6058958974954036  1.6059092700728765  1.605908567130657
0.0044  1.6036311472500568  1.6037544314607546  1.6037697829489996  1.6037689394145709
0.0046  1.6014849397349045  1.6016196863205638  1.601637200605624   1.601636196694754
0.0048  1.5993449169509184  1.5994916353504265  1.599511504091553   1.5995103183157717
0.005   1.5972110523261602  1.5973702519784045  1.5973926745605969  1.597391283668287
0.0052  1.5950833194400773  1.595255509783945   1.5952806932708923  1.5952790721896442
0.0054  1.5929616920224303  1.5931473824968077  1.5931755415842324  1.593173663364432
0.0056  1.590846143952227   1.5910458439960022  1.5910772009653984  1.5910750367250395
0.0058  1.5887366492566706  1.5889508683087303  1.5889856529814934  1.5889831718521912
0.006   1.586633182110113   1.5868624296093448  1.586900879301293   1.5868980483754749
0.0062  1.584535716833017   1.5847805022183077  1.5848228616945819  1.5848196459738517
0.0064  1.5824442278909292  1.5827050606011661  1.5827515820315157  1.5827479443761565
0.0066  1.5803586898934596  1.58063607936753    1.5806870222819722  1.5806829233615836
0.0068  1.5782790775932718  1.5785735332700626  1.5786291645149149  1.5786245627601594
0.007   1.576205365885078   1.5765173972034767  1.5765779908977602  1.5765728424532055
0.0072  1.574137529804649   1.5744676462035427  1.5745334836957483  1.5745277423737867
0.0074  1.572075544527824   1.5724242554460999  1.5724956252713187  1.5724892425071477
0.0076  1.570019385369536   1.5703872002460812  1.570464398083492   1.5704573228911416
0.0078  1.5679690277828402  1.568356456056542   1.5684397846872535  1.5684319636166404
0.008   1.5659244473579552  1.5663319984677007  1.566421767732945   1.5664131448279424
0.0082  1.5638856198213067  1.5643138032059831  1.5644103299656575  1.5644008467231603
0.0084  1.5618525210345853  1.5623018461330793  1.5624054542246315  1.5623950495546053
0.0086  1.5598251269938053  1.560296103245005   1.5604071234426604  1.5603957336291567
0.0088  1.5578034138283772  1.558296550671169   1.5584153206454938  1.5584028793086215
0.0090  1.555787357800186   1.5563031646734573  1.556430028951259   1.5564164670100862
0.0092  1.553776935302674   1.5543159216453122  1.5544512315698658  1.5544364772062549
0.0094  1.551772122859937   1.552334798110829   1.5524789118024374  1.5524628904257807
0.0096  1.5497728971258218  1.550359770723855   1.550513053040729   1.5504956872535862
0.0098  1.5477792348830364  1.548390816267098   1.54855363876656    1.5485348483311743
0.01    1.5457911130422644  1.5464279116512414  1.5466006525512461  1.5465803543569283
0.0102  1.5438085086412867  1.5444710339140664  1.5446540780550386  1.5446321860864076
0.0104  1.5418313988441112  1.5425201602195808  1.5427138990265628  1.5426903243326286
0.0106  1.5398597609401121  1.5405752678571587  1.5407800993022671  1.5407547499663405
0.0108  1.5378935723431701  1.538636334240681   1.5388526628058732  1.5388254439162916
0.0110  1.535932810590825   1.5367033369076872  1.5369315735478248  1.5369023871694867
0.0112  1.5339774533434336  1.534776253518535   1.5350168156247535  1.5349855607714358
0.0114  1.5320274783833345  1.5328550618555612  1.5331083732189326  1.533074945826396
0.0116  1.5300828636140178  1.5309397398222573  1.531206230597748   1.5311705234976043
0.0118  1.5281435870593043  1.529030265442444   1.529310372113167   1.5292722750075032
0.012   1.5262096268625316  1.5271266168594586  1.5274207822012098  1.5273801816379573
0.0122  1.5242809612857426  1.525228772335344   1.5255374453814288  1.5254942247304648
0.0124  1.522357568708886   1.5233367102500488  1.523660346256389   1.5236143856863578
0.0126  1.5204394276290183  1.5214504091006305  1.5217894695111531  1.5217406459669995
0.0128  1.5185265166595177  1.5195698475004655  1.5199247999127694  1.5198729870939713
0.0130  1.5166188145292971  1.5176950041784685  1.518066322309765   1.518011390649254
0.0132  1.514716300082032   1.5158258579783137  1.5162140216316413  1.5161558382754017
0.0134  1.512818952275386   1.5139623878576653  1.5143678828883733  1.5143063116757096
0.0136  1.5109267501802501  1.5121045728874143  1.5125278911699138  1.5124627926143728
0.0138  1.5090396729799829  1.5102523922509188  1.5106940316456994  1.5106252629166446
0.014   1.507157699969658   1.508405825243253   1.50886628956416    1.5087937044689808
0.0142  1.50528081055532    1.5065648512704612  1.5070446502522357  1.5069680992191805
0.0144  1.5034089842532423  1.5047294498488173  1.5052290991148898  1.5051484291765256
0.0146  1.501542200689196   1.5028996006040913  1.5034196216346338  1.5033346764119067
0.0148  1.499680439597718   1.5010752832708212  1.5016162033710487  1.5015268230579466
0.0150  1.4978236808213903  1.4992564776915887  1.4998188299603143  1.4997248513091208
0.0152  1.4959719043101247  1.4974431638163053  1.4980274871147392  1.4979287434218662
0.0154  1.4941250901204488  1.4956353217014988  1.4962421606222955  1.4961384817146883
0.0156  1.4922832184148025  1.4938329315096093  1.4944628363461572  1.4943540485682638
0.0158  1.4904462694608382  1.4920359735082886  1.4926895002242404  1.492575426425533
0.016   1.4886142236307252  1.490244428069706   1.4909221382687474  1.4908025977917938
0.0162  1.4867870614004615  1.4884582756698608  1.489160736565716   1.4890355452347839
0.0164  1.4849647633491903  1.4866774968878955  1.4874052812745664  1.4872742513847599
0.0166  1.4831473101585237  1.4849020724054212  1.4856557586276593  1.485518698934576
0.0168  1.4813346826118663  1.4831319830058431  1.4839121549298508  1.4837688706397518
0.017   1.4795268615937505  1.4813672095736943  1.4821744565580537  1.4820247493185372
0.0172  1.4777238280891738  1.4796077330939714  1.4804426499607983  1.4802863178519738
0.0174  1.4759255631829413  1.4778535346514803  1.4787167216578025  1.4785535591839514
0.0176  1.474132048059014   1.4761045954301812  1.476996658239539   1.4768264563212592
0.0178  1.4723432639998624  1.474360896712545   1.4752824463668077  1.4751049923336312
0.0180  1.470559192385823   1.4726224198789089  1.4735740727703122  1.473389150353793
0.0182  1.4687798146944648  1.4708891464068403  1.471871524250238   1.4716789135774966
0.0184  1.467005112499954   1.4691610578705065  1.4701747876758335  1.4699742652635552
0.0186  1.4652350674724293  1.467438135940046   1.4684838499849964  1.4682751887338763
0.0188  1.463469661377378   1.4657203623809467  1.4667986981838568  1.4665816673734846
0.019   1.4617088760750223  1.4640077190534293  1.465119319346372   1.4648936846305465
0.0192  1.4599526935197016  1.4623001879118347  1.4634457006139177  1.4632112240163884
0.0194  1.4582010957592693  1.4605977510040156  1.4617778291948835  1.4615342691055093
0.0196  1.4564540649344875  1.458900390470734   1.460115692364272   1.459862803535596
0.0198  1.4547115832784299  1.4572080885450636  1.4584592774633018  1.4581968110075274
0.02    1.4529736331158856  1.4555208275517935  1.456808571899008   1.4565362752853777
0.0202  1.4512401968627728  1.453838589906843   1.4551635631438558  1.4548811801964203
0.0204  1.449511257025553   1.452161358116672   1.4535242387353433  1.4532315096311221
0.0206  1.4477867962006497  1.4504891147777048  1.451890586275618   1.4515872475431375
0.0208  1.446066797073874   1.4488218425757522  1.4502625934310933  1.4499483779493005
0.021   1.4443512424198528  1.4471595242854418  1.448640247932062   1.4483148849296097
0.0212  1.4426401151014618  1.4455021427696484  1.4470235375723206  1.4466867526272138
0.0214  1.4409333980692627  1.443849680978934   1.4454124502087917  1.4450639652483919
0.0216  1.4392310743609449  1.4422021219509884  1.443806973761149   1.4434465070625333
0.0218  1.4375331271007712  1.440559448810074   1.4422070962114462  1.4418343624021093
0.0220  1.4358395394990278  1.4389216447664768  1.4406128056037482  1.440227515662648
0.0222  1.4341502948514795  1.437288693115962   1.4390240900437639  1.4386259513027038
0.0224  1.4324653765388273  1.4356605772392306  1.437440937698484   1.4370296538438219
0.0226  1.4307847680261694  1.4340372806013808  1.435863336795817   1.435438607870504
0.0228  1.4291084528624718  1.4324187867513782  1.4342912756242323  1.4338527980301692
0.023   1.427436414680034   1.4308050793215226  1.4327247425324032  1.432272209033112
0.0232  1.4257686371939677  1.429196142026926   1.431163725928853   1.430696825652459
0.0234  1.4241051042016724  1.4275919586649872  1.4296082142816018  1.429126632724123
0.0236  1.4224457995823196  1.425992513114878   1.4280581961178198  1.4275616151467523
0.0238  1.4207907072963384  1.424397789337028   1.4265136600234793  1.4260017578816817
0.024   1.4191398113849059  1.4228077713726137  1.4249745946430101  1.4244470459528782
0.0242  1.4174930959694418  1.421222443343055   1.4234409886789579  1.4228974644468853
0.0244  1.4158505452511045  1.4196417894495101  1.4219128308916442  1.421352998512764
0.0246  1.4142121435102948  1.4180657939723806  1.4203901100988292  1.4198136333620335
0.0248  1.41257787510616    1.4164944412708125  1.418872815175376   1.4182793542686094
0.025   1.4109477244761026  1.4149277157822093  1.417360935052919   1.4167501465687384
0.0252  1.4093216761352942  1.4133656020217424  1.415854458719532   1.4152259956609314
0.0254  1.4076997146761907  1.4118080845818675  1.4143533752194017  1.4137068870058969
0.0256  1.4060818247680527  1.410255148131845   1.4128576736524994  1.4121928061264692
