# Baryon number density to 5/3 as a function of pressure, T=10MeV, mb=30GeV, resummed, continuum extrapolation
# nb^5/3                 nb_error                 press                    press_error
2.4001371592685398e-11   2.792536854874094e-12    2.425022818806964e-10    3.5654303619477975e-12
6.502501406443577e-11    7.830193353878941e-12    4.3996399605992826e-10   3.906401397661961e-12
1.7612594339269193e-10   2.192995807914253e-11    7.981267291628737e-10    2.3908409153390386e-12
4.768585053500047e-10    6.13292702352865e-11     1.4476107432043684e-9    4.2527376461433804e-12
1.2901565050572972e-9    1.7116705873666894e-10   2.6248577773877736e-9    2.3368448677744362e-11
3.486051807241244e-9     4.762642859773506e-10    4.7570848505281744e-9    7.071577375763618e-11
9.397556949629737e-9     1.3186854323639972e-9    8.613684973358316e-9     1.7885030365698674e-10
2.5227749982831627e-8    3.6211762236781324e-9    1.557209858843576e-8     4.1243785744861295e-10
6.721851375382515e-8     9.804177292152992e-9     2.8072114724318468e-8    8.936941801302181e-10
1.7674390984565697e-7    2.5905039145031802e-8    5.035310388737948e-8     1.8368072848169658e-9
4.541947843618951e-7     6.566235362037625e-8     8.953512653228603e-8     3.5700466105961537e-9
1.1234853352068696e-6    1.553833494415141e-7     1.5689094121523938e-7    6.468077325955844e-9
2.6185050287057847e-6    3.302053349211747e-7     2.685880096414881e-7     1.0629476494853233e-8
5.612396211735997e-6     6.015800619748861e-7     4.44465335513535e-7      1.517617872952723e-8
0.000010856900701439616  8.991147835556125e-7     7.03986713595131e-7      1.7530991743470696e-8
0.00001887238232623806   1.0485139050067662e-6    1.0615878509465982e-6    1.3395513654826537e-8
0.000029804630057931004  8.38886166450805e-7      1.525420199438493e-6     2.611671210511267e-9
0.00004349123693117335   1.010640979997465e-7     2.099382654207538e-6     3.578728800538542e-8
0.000059401024089537205  1.483968692416282e-6     2.7826067259294196e-6    9.191322747141464e-8
0.0000772505433531681    4.1560035548615635e-6    3.569917798703549e-6     1.7852873589581867e-7
0.00009738030428059003   7.822382043948229e-6     4.459795889434545e-6     3.0179600164195824e-7
0.00012022980465202065   0.000012250694747541824  5.455851140415671e-6     4.6641888692028774e-7
0.0001474735306999315    0.00001617031555946402   6.572379711285264e-6     6.698034912636945e-7
0.0001778144408154266    0.000021140088741451122  7.831577910076747e-6     9.074263309993782e-7
0.00021266927151776364   0.000025620398923774116  9.235130815980499e-6     1.1929226131430459e-6
#0.000262870393835485     0.00001957683397488312   0.000010846065455957943  1.4844139062498374e-6
