# Baryon number density to 5/3 as a function of pressure, T=10MeV, mb=30GeV a=0.07fm, resummed
# nb^5/3                 nb_error                press                   press_error
2.150230511571591e-12    3.808308516882201e-19   3.321754597529115e-11   1.7629361380538503e-18
5.857715429095115e-12    1.8983695861041964e-18  6.060930106254323e-11   5.88035475143224e-18
1.5955142279252723e-11   9.483050809776518e-18   1.105833522081861e-10   1.9642836360666675e-17
4.3445413369124066e-11   4.7552841194135863e-17  2.0174438813066168e-10  6.578919402834265e-17
1.1823657425786908e-10   2.4009666247452325e-16  3.679955097103629e-10   2.21401634953352e-16
3.2146330087771996e-10   1.2270877679123305e-15  6.710500356708519e-10   7.514902622723389e-16
8.724348454214959e-10    6.404683253305962e-15   1.2230193833449829e-9   2.589509456211235e-15
2.360081834745741e-9     3.461639055847128e-14   2.226833097276829e-9    9.156987566059955e-15
6.347342721824703e-9     1.9749516170736503e-13  4.047410185582489e-9    3.3782263979620105e-14
1.6895369013201493e-8    1.2142895008065522e-12  7.3333207934978996e-9   1.32876683452097e-13
4.4171777713923194e-8    8.134001954084004e-12   1.3213691726031451e-8   5.689771281477528e-13
1.1206251907669218e-7    5.825526450670884e-11   2.358572288759168e-8    2.6647084960025925e-12
2.7111328844828177e-7    4.151459718307755e-10   4.145630078434396e-8    1.3183312718181885e-11
6.123344548072165e-7     2.5575371628448404e-9   7.118078816468489e-8    6.276829683107361e-11
1.2652312564014562e-6    1.1211931599101079e-8   1.1831267856534042e-7   2.4911594580294266e-10
2.3607328035031505e-6    2.9680902302349974e-8   1.888466640909e-7       7.206964225485856e-10
3.978095537759816e-6     4.983368819917911e-8    2.880942119687658e-7    1.4840178246493579e-9
6.134022700564754e-6     6.859339669042062e-8    4.1998689112423987e-7   2.4271383832230602e-9
8.801113845130823e-6     6.407145503533594e-8    5.870719736643084e-7    3.380789721201145e-9
0.000011959852472758674  1.730790918696095e-8    7.909255008875725e-7    3.8946402550097646e-9
0.000015591461127972815  5.8460890498646345e-8   1.0327510427379459e-6   3.735565537147861e-9
0.000019654994044200057  2.0075685864810286e-7   1.3132170222736837e-6   2.5179832894183345e-9
0.00002420458851204347   2.2553708253459325e-7   1.633128224371053e-6    5.253057737678078e-10
0.00002891922794955367   4.5237721634256177e-7   1.9924852021133058e-6   1.7594257911777047e-9
0.00003377178611186362   1.2693225760891964e-6   2.388942160269872e-6    8.201915206856079e-9
0.00003981649976201877   8.48196003466681e-7     2.824988480198161e-6    1.7111941814063698e-8
0.00004625109552008003   1.2363849232847405e-6   3.3054783518729143e-6   1.6016069989637814e-8
0.00005115083547073739   1.9872247300678066e-6   3.823318458435213e-6    4.4442224940048825e-9
0.000055434304614393075  1.0170460388492269e-6   4.368956391766172e-6    5.281932563842594e-9
0.00006007232120188943   2.59532655352753e-8     4.941587960041083e-6    8.136915526645433e-9
0.00006441112948638127   3.6404518526538573e-7   5.5410006335900695e-6   6.905161569100549e-9
