# nb of mu/m for saturation plot, T=10 MeV, mb = 30 GeV
# mu    a = 0.08                 error                   a = 0.07                 error
0.996   6.57362780122025e-8      6.853820032267375e-17   9.988286985570215e-8     1.0614251693367276e-14
0.9962  1.199957258836911e-7     2.290170095699143e-16   1.8223716967537259e-7    3.543567729379448e-14
0.9964  2.190254123263608e-7     7.668927248948476e-16   3.3246077184553507e-7    1.18560250148094e-13
0.9966  3.997283609403212e-7     2.5780282077137676e-15  6.064100081505471e-7     3.9824491784406753e-13
0.9968  7.293384983838649e-7     8.727111004514052e-15   1.1057351178526802e-6    1.3472147049743526e-12
0.997   1.3301469692650163e-6    2.991085243222514e-14   2.015017581954093e-6     4.615031279562296e-12
0.9972  2.4239164954567058e-6    1.0473960455932986e-13  3.6680884708245633e-6    1.6156836983485367e-11
0.9974  4.410582332462998e-6     3.8014174260129173e-13  6.6643260604201935e-6    5.864938759257352e-11
0.9976  8.004210358651119e-6     1.4590624241033086e-12  0.00001206577351810122   2.2525458216483005e-10
0.9978  0.00001445675467588324   6.057871494678248e-12   0.000021710039269093803  9.362086738446893e-10
0.998   0.000025892261450874346  2.760110850879888e-11   0.000038644431859690645  4.269859328014504e-9
0.9982  0.00004570764125051313   1.3621576654446969e-10  0.00006755791356427989   2.1074022452642225e-8
0.9984  0.00007879022077653109   6.832982390623729e-10   0.00011478641252043722   1.0549328966197975e-7
0.9986  0.00013094346336941308   3.0569650627326143e-9   0.0001871514594498382    4.6939781645508266e-7
0.9988  0.00020685210130919334   1.0125193204593534e-8   0.00028926903536632026   1.540763366849132e-6
0.999   0.0003072192882478658    2.111591336018733e-8    0.00042056013254096074   3.1805830502895063e-6
0.9992  0.00042792209783446613   2.89371136185366e-8     0.0005751817864557985    4.334083886853779e-6
0.9994  0.0005630121332121681    3.357376465100252e-8    0.000745842672405047     5.015459298086684e-6
0.9996  0.0007082447820458505    2.7420772699335294e-8   0.0009262379760991481    4.05167687373613e-6
0.9998  0.0008610039427959731    6.827385775438552e-9    0.0011133596906081915    9.67010734986189e-7
1.      0.0010184724464863634    1.9108247940966688e-8   0.0013053653779460095    2.934517580959004e-6
1.0002  0.0011775531286946444    6.100556746661129e-8    0.0014999740646383926    9.173785880689208e-6
1.0004  0.0013353225253787155    6.372115296678603e-8    0.0016995683007501867    9.484261759111923e-6
1.0006  0.001488655546413006     1.1658221637372845e-7   0.0018910892101118054    0.000017694011650335384
1.0008  0.0016347077250865429    3.0967820294344403e-7   0.0020755462629668533    0.00004646020433692012
1.001   0.0017710154277360828    1.99775676941287e-7     0.002291067302989755     0.000029159911744453763
1.0012  0.0018934216737121253    2.6658962479718905e-7   0.002506531774704078     0.000040420450634227195
1.0014  0.0019959191689167413    4.20135404619916e-7     0.002662635015522874     0.00006255769654054224
1.0016  0.002074193102393142     2.0920453758319774e-7   0.0027942622425031734    0.000030873426988528574
1.0018  0.0021285030662690644    6.227189611619083e-9    0.0029322746650857464    7.601705265545058e-7
1.002   0.0021632059117586517    6.92034322516237e-8     0.0030575709880205264    0.000010356959371576532
1.0022  0.0021840849211143825    7.030404809054216e-8    0.0031512826156808076    0.000010475801600860583
1.0024  0.0021961645586491257    5.050014241893622e-8    0.003212682304652289     7.5171708691763005e-6
1.0026  0.002202989900906276     3.1691420198601966e-8   0.0032498711071885125    4.7166992610402254e-6
1.0028  0.002206793976729571     1.864537139311187e-8    0.0032714129648720182    2.775551193919066e-6
1.003   0.002208897833179116     1.0612394021718152e-8   0.0032835846559411013    1.5802945177458526e-6
