% Value of the M-functions as a function of h1 for different overlappings
% h1   M_{(11)}^3               M_{(11)^2} M_{(11)}      M_{(11)^3}
0.01   0.000027998922048115806  7.999174060812134e-6     9.995310638970306e-7
0.011  0.00003726609037069484   0.000010646536834002808  1.3301692885521973e-6
0.012  0.000048380781357506766  0.000013821533890978728  1.7265999031762238e-6
0.013  0.00006151079721011425   0.000017572013700599154  2.1947369040992625e-6
0.014  0.00007682388415423596   0.00002194578185956701   2.740469967580493e-6
0.015  0.00009448772275578308   0.000026990593681219695  3.369660252746636e-6
0.016  0.00011466991746717865   0.000032754146197739446  4.088135875396905e-6
0.017  0.00013753798540555218   0.00003928406957779386   4.901687054783259e-6
0.018  0.00016325934436464432   0.00004662791796192249   5.816060935794801e-6
0.019  0.0001920013000625168    0.00005483315971831324   6.836956089316924e-6
0.02   0.0002239310326274374    0.00006394716712195954   7.970016693898852e-6
0.020  0.00025921558232460594   0.00007401720546055857   9.220826402247493e-6
0.022  0.00029802183452669285   0.00008509042157089938   0.000010594901896470315
0.023  0.000340516503931493     0.00009721383180989929   0.000012097686136414869
0.024  0.00038686611803033424   0.00011043430946487567   0.000013734541305897464
0.025  0.0004372369998312426    0.0001247985716080892    0.00001551074146207708
0.026  0.0004917952498412373    0.00014035316540106068   0.000017431464893713088
0.027  0.0005507067273125193    0.00015714445385465187   0.000019501786194545543
0.028  0.000614137030757723     0.00017521860105140267   0.00002172666805855391
0.028  0.000682251477739814     0.00019462155683713951   0.000024110952804383926
0.03   0.0007552150839426617    0.00021539904098941004   0.000026659353636781435
0.031  0.0008331925415287457    0.00023759652687085062   0.000029376445653435275
0.032  0.0009163481967909446    0.00026125922457617045   0.00003226665660620966
0.033  0.0010048460271057961    0.0002864320635820148    0.00003533425742633502
0.034  0.00109884961719614      0.000313159674909576     0.00003858335252372871
0.035  0.0011985221347115332    0.00034148637281043406   0.00004201786987122837
0.036  0.0013040263051353564    0.00037145613598673277   0.00004564155088514111
0.037  0.0014155243860280357    0.0004031125883574392    0.0000494579401141407
0.038  0.0015331781406163756    0.0004364989793830858    0.00005347037474917972
0.039  0.0016571488107394914    0.0004716581639620452    0.00005768197396772317
0.04   0.0017875970891624519    0.0005086325819120722    0.00006209562812625398
0.041  0.0019246830912692482    0.0005474642370515091    0.00006671398781564597
0.042  0.0020685663261473274    0.0005881946758952456    0.00007153945279464494
0.043  0.0022194056670764763    0.0006308649659812045    0.00007657416081734339
0.044  0.002377359321435458     0.00067551567384383      0.00008181997637117512
0.045  0.0025425848000403834    0.0007221868426517422    0.00008727847934259181
0.046  0.002715238885929415     0.0007709179695274261    0.00009295095362821395
0.047  0.00289547760260899      0.0008217479825675238    0.00009883837570986692
0.048  0.003083456181777398     0.0008747152175829973    0.00010494140321252665
0.049  0.0032793290305421045    0.0009298573945791249    0.00011126036346479181
0.05   0.0034832496981479022    0.0009872115939959887    0.00011779524208208629
0.051  0.003695370842233523     0.0010468142327308045    0.00012454567159335883
0.052  0.003915844194635018     0.0011087010399641211    0.00013151092013259492
0.053  0.004144820526754801     0.0011729070328125905    0.00013868988021698036
0.054  0.004382449614515862     0.001239466491831677     0.00014608105763406028
0.055  0.004628880202921344     0.0013084129363923362    0.0001536825604607137
0.056  0.004884259970240145     0.0013797790999563052    0.00016149208823721184
0.057  0.005148735491840007     0.0014535969052753086    0.00016950692132005116
0.058  0.005422452203689989     0.001529897439540072     0.0001777239104376378
0.059  0.005705554365554909     0.0016087109295056198    0.00018613946647325338
0.060  0.005998185023904921     0.0016900667166199301    0.00019474955050005123
0.061  0.006300485974563921     0.0017739932321835443    0.0002035496640931089
0.062  0.0066125977251211285    0.0018605179725682708    0.00021253483994380188
0.063  0.006934659457130701     0.0019496674745236244    0.00022169963280195976
0.064  0.007266808988124742     0.0020414672906000973    0.00023103811077141237
0.065  0.00760918273346574      0.002135941964718848     0.0002405438469846458
0.066  0.007961915668064834     0.0022331150079177562    0.0002502099116823318
0.067  0.008325141287992893     0.0023330088743042246    0.00026002886472350974
0.068  0.00869899157201192      0.0024356449372454317    0.0002699927485521461
0.069  0.00908359694305462      0.0025410434658270664    0.0002800930816456946
0.069  0.009479086229680644     0.002649223601611861     0.00029032085247112857
0.071  0.009885586627538172     0.0027602033357294626    0.0003006665139736946
0.072  0.010303223660860198     0.0028739994863294068    0.00031111997862337017
0.073  0.010732121144025063     0.0029906276764291068    0.00032167061404367265
0.074  0.011172401143211177     0.003110102312188875     0.0003323072392470715
0.075  0.011624183938176378     0.003232436561646121     0.00034301812150080654
0.076  0.012087587984192386     0.003357642333940814     0.00035379097384638763
0.077  0.012562729874165408     0.00348573025906436      0.0003646129532954774
0.078  0.013049724300974007     0.003616709668163939     0.0003754706597242104
0.079  0.013548684020055648     0.0037505885744342268    0.00038635013548729064
0.08   0.014059719812273505     0.0038873736546282765    0.00039723686577243435
0.081  0.014582940447095405     0.004027070231219139     0.0004081157797148927
0.082  0.015118452646116632     0.004169682255243471     0.0004189712522908745
0.082  0.01566636104695883      0.0043152122898581224    0.00042978710700773015
0.083  0.016226768167576937     0.004463661494640308     0.00044054661940772346
0.084  0.016799774371006312     0.004615029610661495     0.00045123252140112495
0.086  0.017385477830582242     0.004769314946364737     0.00046182700644320165
0.087  0.017983974495663812     0.00492651436427458      0.00047231173556846665
0.088  0.018595358057894296     0.005086623268568088     0.0004826678442942732
0.089  0.01921971991802988      0.005249635593534947     0.0004928759504045029
0.09   0.01985714915336853      0.005415543792953827     0.0005029161626227132
0.091  0.02050773248581061      0.005584338830411478     0.0005127680901826591
0.092  0.021171554250582564     0.005756010170590206     0.0005224108533026174
0.093  0.021848696365654844     0.00593054577154853      0.0005318230945683865
0.094  0.02253923830188488      0.006107932078018892     0.0005409829912282549
0.095  0.023243257053915417     0.0062881540157453085    0.0005498682684015887
0.096  0.023960827111858644     0.0064711949868828875    0.0005584562132010153
0.097  0.024692020433795366     0.00665703686647998      0.0005667236897664653
0.097  0.025436906419118797     0.00684566000006268      0.0005746471552075903
0.098  0.026195551882751553     0.0070370432023402416    0.0005822026764492939
0.099  0.02696802103026394      0.007231163757048606     0.0005893659479733021
0.100  0.02775437543392132      0.007427997417948212     0.0005961123104468864
0.102  0.028554674009687506     0.007627518410990753     0.0006024167702279854
0.103  0.02936897299521041      0.007829699437668277     0.0006082540197341301
0.104  0.030197325928815712     0.008034511679556646     0.0006135984586606896
0.105  0.031039783629533555     0.008241924804063923     0.0006184242160320824
0.106  0.031896394178182186     0.008451906971392796     0.0006227051730677267
0.107  0.032767202899532104     0.008664424842724653     0.0006264149868426128
0.108  0.03365225234557318      0.008879443589631334     0.0006295271147205363
0.109  0.03455158227990632      0.009096926904719214     0.0006320148395361472
0.11   0.03546522966328059      0.0093168370135084       0.0006338512955001707
0.111  0.03639322864029537      0.009539134687548462     0.0006350094948003103
0.112  0.03733561052728655      0.009763779258770405     0.0006354623548685857
0.113  0.03829240380141454      0.009990728635072848     0.0006351827262840925
0.114  0.03926363409097089      0.010219939317138896     0.0006341434212784665
0.114  0.040249324166919107     0.010451366416478354     0.0006323172428096626
0.115  0.04124949393568482      0.010684963674688326     0.0006296770141680334
0.116  0.04226416043320796      0.01092068348392351      0.0006261956090771494
0.118  0.043293337820270325     0.011158476908565904     0.0006218459822502434
0.119  0.044337037379108955     0.011398293708081776     0.0006166012003617784
0.12   0.04539526751132606      0.01164008236105223      0.0006104344733921985
0.121  0.04646803373710362      0.011883790090361909     0.0006033191863026562
0.122  0.0475553386957311       0.012129362889528776     0.0005952289309952604
0.123  0.04865718214745192      0.012376745550156158     0.0005861375385132245
0.124  0.04977356097663443      0.012625881690486769     0.0005760191114342543
0.125  0.050904469196270986     0.012876713785036586     0.0005648480564095209
0.126  0.05204989795380769      0.013129183195285062     0.0005525991167996619
0.127  0.05320983553830635      0.013383230201396455     0.0005392474053584778
0.128  0.05438426738893862      0.013638794034945594     0.0005247684369142957
0.129  0.05557317610481085      0.013895812912619838     0.0005091381609983706
0.13   0.05677654145611771      0.014154224070867569     0.0004923329943691893
0.131  0.057994340396619846     0.014413963801462083     0.00047432985338119156
0.132  0.05922654707744128      0.014674967487948484     0.0004551061861461014
0.133  0.060473132862179674     0.014937169642939552     0.0004346400044349403
0.134  0.06173406634332188      0.015200503946225689     0.00041290991526868976
0.135  0.06300931335995553      0.01546490328366246      0.0003898951521456623
0.136  0.06429883701676696      0.015730299786798213     0.0003655756058537794
0.137  0.06560259770431313      0.015996624873203115     0.00033993185481626977
0.138  0.06692055312055548      0.01626380928745987      0.00031294519491965964
0.139  0.0682526582936414       0.016531783142775425     0.00028459766877344866
0.14   0.06959886560591759      0.0168004759631719       0.0002548720943515159
0.141  0.07095912481916009      0.01706981672621423      0.00022375209296597934
0.142  0.07233338310100196      0.01733973390623124      0.00019122211652510424
0.143  0.07372158505254056      0.01761015551798585      0.00015726747402785082
0.144  0.07512367273710485      0.017881009160749833     0.00012187435724860234
0.145  0.07653958571016045      0.01815222206273772      0.00008502986556693272
0.146  0.07796926105033185      0.01842372112585379      0.000046722029898406577
0.147  0.07941263339151737      0.01869543297070609      6.939835683833842e-6
0.148  0.08086963495607344      0.01896728398184057      0.000034326755104108035
0.149  0.08234019558904267      0.019239200353148352     0.0000770867829764316
0.150  0.08382424279339959      0.019511108133399003     0.00012134827100354368
0.151  0.08532170176628726      0.019782933271852356     0.00016711820598716304
0.152  0.08683249543621631      0.020054601663901463     0.00021440252076285974
0.153  0.08835654450119816      0.020326039196699223     0.0002632060776656389
0.154  0.08989376746778244      0.02059717179472151      0.00031353265318905584
0.155  0.09144408069096817      0.020867925465219348     0.0003653849238662533
0.156  0.09300739841495835      0.021138226343513502     0.0004187644533993227
0.157  0.09458363281472482      0.02140800073808466      0.0004736716810611009
0.158  0.09617269403835194      0.021677175175413038     0.0005301059113913612
0.159  0.0977744902501263       0.021945676444521764     0.0005880653052071656
0.16   0.09938892767433753      0.022213431641178644     0.0006475468719446846
0.161  0.10101591063975754      0.022480368211711725     0.0007085464633475713
0.162  0.10265534162476256      0.022746413996394932     0.0007710587685146328
0.163  0.10430712130306358      0.02301149727236028      0.0008350773103170239
0.164  0.10597114859000954      0.02327554679599439      0.0009005944431928793
0.165  0.10764732068942733      0.023538491844777912     0.0009676013523248692
0.166  0.10933553314096335      0.023800262258527126     0.0010360880542036929
0.167  0.11103567986788908      0.024060788479998194     0.0011060433985781454
0.168  0.11274765322533585      0.024320001594815496     0.001177455071789896
0.169  0.11447134404892063      0.024577833370686707     0.0012503096014888377
0.17   0.11620664170372721      0.024834216295868194     0.0013245923627222909
0.171  0.11795343413360544      0.025089083616845878     0.0014002875853891764
0.172  0.11971160791075254      0.025342369375197543     0.0014773783630477755
0.173  0.12148104828553812      0.02559400844360419      0.0015558466630633868
0.174  0.12326163923653852      0.025843936560979247     0.001635673338080134
0.175  0.12505326352074192      0.026092090366685833     0.0017168381387986115
0.176  0.12685580272388894      0.02633840743381364      0.0017993197280392094
0.177  0.12866913731091265      0.026582826301488626     0.0018830956960686727
0.178  0.13049314667644105      0.026825286506189795     0.0019681425771652713
0.179  0.1323277091953277       0.027065728612049412     0.0020544358673963703
0.180  0.1341727022731745       0.027304094240113923     0.0021419500435797996
0.181  0.13602800239681181      0.02754032609654475      0.002230658583398772
0.182  0.1378934851847011       0.02777436799973967      0.0023205339866384234
0.183  0.139769025437227        0.02800616490635688      0.0024115477975101256
0.184  0.14165449718684422      0.028235662936225616     0.0025036706280283216
0.185  0.1435497737480467       0.02846280939612855      0.0025968721824028203
0.186  0.1454547277671262       0.02868755280244322      0.002691121282408407
0.187  0.14736923127168916      0.028909842902630538     0.0027863858936919075
0.188  0.14929315571989907      0.029129630695561164     0.0028826331529758567
0.189  0.15122637204941564      0.02934686845067077      0.0029798293961165803
0.19   0.15316875072599828      0.029561509725938        0.0030779401869734657
0.191  0.15512016179174737      0.029773509384679826     0.0031769303470453557
0.192  0.15708047491295218      0.029982823611160513     0.0032767639858288216
0.193  0.15904955942751925      0.030189409925012248     0.0033774045318525833
0.194  0.1610272843919531       0.030393227194467236     0.003478814764341637
0.195  0.16301351862786415      0.030594235648401292     0.0035809568454637127
0.196  0.16500813076797657      0.030792396887192455     0.0036837923531107403
0.197  0.16701098930161334      0.030987673892397583     0.003787282314167275
0.198  0.16902196261963326      0.03118003103525251      0.0038913872382174454
0.199  0.17104091905879723      0.03136943408400269      0.003996067151642219
0.2    0.17306772694554237      0.03155585021007168      0.004101281632058328
0.201  0.1751022546391418       0.031739247993077355     0.004206989843050228
0.202  0.1771443705742299       0.03191959742470616      0.004313150569146752
0.203  0.17919394330267455      0.03209686991145733      0.004419722250994268
0.204  0.1812508415347758       0.03227103827626997      0.0045266630206779665
0.205  0.18331493417977582      0.032442076759047325     0.004633930737144222
0.206  0.18538609038566117      0.03260996101609361      0.004741483021676287
0.207  0.1874641795782427       0.03277466811847966      0.004849277293377117
0.208  0.1895490714994982       0.0329361765493547       0.004957270804612841
0.209  0.19164063624516314      0.03309446620022304      0.005065420676371942
0.210  0.19373874430155721      0.03324951836620481      0.0051736839334952656
0.211  0.19584326658163378      0.033401315740300794     0.005282017539733081
0.212  0.1979540744602413       0.03354984240668289      0.005390378432586475
0.213  0.2000710398085869       0.033695083833031915     0.005498723557891067
0.214  0.20219403502789163      0.03383702686194497      0.005607009904102008
0.215  0.20432293308222935      0.033975659701436615     0.005715194536240725
0.216  0.2064576075305419       0.03411097191455703      0.005823234629464356
0.217  0.20859793255782308      0.03424295440815224      0.00593108750222077
0.218  0.2107437830054662       0.034371599420791286     0.006038710648952478
0.219  0.21289503440076937      0.034496900509886415     0.006146061772314668
0.22   0.21505156298559489      0.03461885253803201      0.006253098814873504
0.221  0.21721324574417927      0.03473745165858885      0.006359779990252543
0.222  0.2193799604300906       0.034852695300541255     0.006466063813695872
0.223  0.22155158559233232      0.03496458215265332      0.00657190913201882
0.224  0.22372800060059228      0.03507311214695251      0.006677275152917647
0.225  0.22590908566963597      0.03517828644156828      0.006782121473611933
0.226  0.22809472188284532      0.03528010740295318      0.006886408108793887
0.227  0.23028479121490422      0.035378578587515086     0.006990095517861308
0.228  0.23247917655363157      0.03547370472268844      0.0070931446314115056
0.229  0.2346777617209667       0.0355654916874724       0.007195516876975571
0.23   0.23688043149310792      0.03565394649246493      0.00729717420397364
0.231  0.23908707161981002      0.035739077259420084     0.007398079107873441
0.232  0.24129756884284478      0.03582089320035725      0.007498194653535517
0.233  0.2435118109136288       0.03589940459625034      0.007597484497730685
0.234  0.24572968661002653      0.03597462277532432      0.0076959129108161925
0.235  0.2479510857523321       0.03604656009098745      0.007793444797558564
0.236  0.2501758992184399       0.03611522989942613      0.007890045717093105
0.237  0.2524040189582091       0.036180646536889946     0.00798568190201051
0.238  0.25463533800703037      0.03624282529669422      0.008080320276563843
0.239  0.25686975049860533      0.036301782405965696     0.008173928473988769
0.240  0.25910715167694454      0.036357535002158686     0.008266474852932852
0.241  0.2613474379075954       0.03641010110936753      0.008357928512990498
0.242  0.2635905066881108       0.036459499614460475     0.008448259309341254
0.243  0.2658362566577648       0.03650575024306048      0.00853743786649036
0.244  0.2680845876065306       0.03654887353539778      0.008625435591112653
0.245  0.2703354004833284       0.03658889082205852      0.008712224684000923
0.246  0.27258859740355645      0.03662582419965274      0.008797778151121809
0.247  0.2748440816559152       0.036659696506426004     0.00888206981378311
0.248  0.277101757708538        0.03669053129783657      0.008965074317918063
0.249  0.27936153121444085      0.03671835282212066      0.00904676714249189
0.25   0.2816233090163          0.03674318599586836      0.009127124607039253
0.251  0.2838869991505763       0.036765056379629776     0.009206123878339321
0.252  0.28615251085099275      0.03678399015357345      0.009283742976238941
0.253  0.28841975455138313      0.03680001409321661      0.009359960778633436
0.254  0.29068864188792287      0.03681315554524639      0.009434757025616337
0.255  0.2929590857007556       0.03682344240345113      0.009508112322809327
0.256  0.2952310000350298       0.03683090308478025      0.009580008143886327
0.257  0.2975043001413576       0.0368355665055501       0.009650426832303709
0.258  0.29977890247571337      0.036837462057812145     0.009719351602251652
0.259  0.3020547246987802       0.03683661958590144      0.009786766538841467
0.26   0.3043316856747638       0.036833069363179385     0.009852656597543731
0.261  0.3066097054696842       0.03682684206898777      0.009917007602894296
0.262  0.3088887053491618       0.03681796876582587      0.00997980624648298
0.263  0.3111686077757096       0.03680648087676831      0.01004104008424471
0.264  0.3134493364055475       0.036792410163133546     0.010100697533067797
0.265  0.3157308160849523       0.03677578870241689      0.010158767866739221
0.266  0.3180129728461565       0.036756648866501304     0.010215241211245056
0.267  0.32029573390281213      0.03673502330015459      0.010270108539443518
0.268  0.3225790276450312       0.036710944899826695     0.010323361665131175
0.269  0.32486278363401866      0.03668444679275566      0.010374993236521017
0.27   0.3271469325963104       0.03665556231639168      0.010424996729151398
0.271  0.32943140641763113      0.03662432499814973      0.010473366438246388
0.272  0.3317161381363852       0.03659076853549707      0.010520097470546552
0.273  0.3340010619367944       0.036554926776385735     0.010565185735631408
0.274  0.3362861131416963       0.03651683370003535      0.010608627936752046
0.275  0.33857122820501556      0.036476523398073946     0.010650421561195236
0.276  0.340856344703923        0.03643403005604344      0.010690564870199162
0.277  0.3431414013306949       0.03638938793527334      0.010729056888439892
0.278  0.34542633788428395      0.03634263135513101      0.010765897393110596
0.279  0.34771109526161864      0.03629379467564922      0.010801086902611251
0.28   0.34999561544863894      0.03624291228053861      0.01083462666487131
0.281  0.35227984151108377      0.036190018560586595     0.010866518645323495
0.282  0.35456371758504235      0.036135147897445735     0.010896765514548865
0.283  0.35684718886728106      0.03607833464781526      0.01092537063561351
0.284  0.3591302016053564       0.0360196131280173       0.010952338051115146
0.285  0.36141270308752943      0.03595901759896944      0.010977672469960204
0.286  0.3636946416324885       0.035896582251555426     0.011001379253889165
0.287  0.3659759665788962       0.035832341192393286     0.011023464403769154
0.288  0.36825662827476807      0.03576632843000402      0.0110439345456734
0.289  0.3705365780666967       0.03569857786137842      0.011062796916764595
0.290  0.3728157682889294       0.03562912325894255      0.01108005935099994
0.291  0.37509415225231274      0.035557998257922        0.011095730264677375
0.292  0.37737168423311146      0.03548523634410197      0.011109818641837299
0.293  0.37964831946171396      0.03541087084198444      0.011122334019540187
0.294  0.38192401411123306      0.03533493490333742      0.011133286473033716
0.295  0.3841987252860122       0.03525746149613718      0.011142686600827553
0.296  0.386472411010046        0.03517848339389945      0.011150545509691287
0.297  0.3887450302153243       0.035098033165397835     0.01115687479959078
0.298  0.39101654273011005      0.035016143164764924     0.011161686548578048
0.299  0.3932869092671569       0.0349328455219754       0.011164993297649847
0.3    0.39555609141187853      0.03484817213370561      0.011166808035589518
0.301  0.3978240516104741       0.03476215465456656      0.011167144183804795
0.302  0.4000907531580221       0.03467482448870668      0.011166015581176886
0.303  0.40235616018654513      0.03458621278178106      0.011163436468933294
0.304  0.4046202376530606       0.03449635041327889      0.011159421475555292
0.305  0.40688295132761476      0.034405267989212146     0.011153985601737346
0.306  0.4091442677813181       0.03431299583515102      0.011147144205403234
0.307  0.41140415437437994      0.034219563989610347     0.01113891298679745
0.308  0.4136625792441535       0.034125002197776866     0.011129307973658839
0.309  0.41591951129319804      0.034029339905571526     0.011118345506486702
0.31   0.4181749201773621       0.03393260625404651      0.011106042223913648
0.311  0.4204287762938947       0.03383483007410584      0.011092415048190446
0.312  0.42268105076959256      0.033736039881546886     0.011077481170794629
0.313  0.42493171544898417      0.03363626387241839      0.011061258038172844
0.314  0.4271807428825613       0.03353552991868483      0.011043763337622331
0.315  0.4294281063150594       0.03343386556419686      0.011025014983323339
0.316  0.4316737796737934       0.033331298020956995     0.011005031102527693
0.317  0.4339177375570544       0.033227854165677306     0.010983830021912153
0.318  0.4361599552225695       0.03312356053662274      0.010961430254103594
0.319  0.4384004085760314       0.03301844333073342      0.010937850484382214
0.32   0.4406390741597016       0.032912528401019076     0.010913109557568662
0.321  0.44287592914108914      0.032805841254221785     0.010887226465102914
0.322  0.44511095130171247      0.032698407048738165     0.010860220332317705
0.323  0.4473441190259441       0.0325902505927968       0.010832110405914211
0.324  0.4495754112899442       0.03248139634288266      0.010802916041642338
0.325  0.45180480765068576      0.0323718684024043       0.01077265669219274
0.326  0.4540322882350731       0.03226169052059699      0.010741351895302814
0.327  0.4562578337291596       0.03215088609165356      0.010709021262080703
0.328  0.458481425367464        0.03203947815408059      0.01067568446555206
0.329  0.46070304492239045      0.03192748939026904      0.010641361229430213
0.33   0.46292267469375353      0.031814942126278        0.010606071317116356
0.331  0.46514029749841085      0.03170185833182093      0.010569834520927773
0.332  0.46735589666000604      0.03158825962045175      0.010532670651560966
0.333  0.46956945599882227      0.03147416724994201      0.010494599527787196
0.334  0.47178095982175106      0.03135960212284514      0.01045564096638621
0.335  0.4739903929123755       0.031244584787240542     0.010415814772316345
0.336  0.4761977405211701       0.03112913543765186      0.010375140729124516
0.337  0.4784029883558205       0.031013273916133816     0.010333638589595323
0.338  0.48060612257166185      0.030897019713521018     0.010291328066640293
0.339  0.48280712976223833      0.030780391970834237     0.010248228824429328
0.34   0.48500599694998575      0.03066340948083679      0.010204360469761559
0.341  0.48720271157703576      0.03054609068973682      0.010159742543678324
0.342  0.4893972614961453       0.030428453699029245     0.010114394513316638
0.343  0.4915896349617505       0.0303105162674715       0.010068335764002317
0.344  0.49377982062114534      0.030192295813188497     0.010021585591583948
0.345  0.4959678075057864       0.030073809415901126     0.009974163195004604
0.346  0.4981535850227253       0.029955073819272066     0.009926087669111738
0.347  0.5003371429461653       0.02983610543336579      0.009877377997703662
0.348  0.5025184714091472       0.029716920337215125     0.009828053046810975
0.349  0.5046975608953618       0.029597534281491533     0.009778131558212139
